CD_OPERADO;CNPJ;RAZAO_SOCIAL;Nome_Fantasia;MODALIDADE;DATA_REGISTRO_ANS;DATA_DESCREDENCIAMENTO;MOTIVO_DESCREDENCIAMENTO
418374;1,18E+13; CAIXA DE ASSISTÊNCIA DO SETOR DE ENERGIA -EVIDA -ASSISTÊNCIA À SAÚDE;E-VIDA;Autogestão;12/01/2012;;
419761;1,95E+13;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;19/05/2015;;
421545;2,29E+13;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;;Odontologia de Grupo;13/06/2019;;
421421;2,75E+13;2CARE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo;09/10/2018;;
422908;4,18E+13;3S ADMINISTRADORA DE BENEFICIOS LTDA;3S ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;12/07/2021;;
406708;5,40E+11;A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA;APS;Medicina de Grupo;29/07/1999;;
418030;1,31E+13;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios;05/05/2011;;
421600;3,12E+13;A4 ADMINISTRADORA DE BENEFICIOS LTDA;A4 ADMINISTRADORA DE BENEFICIOS ;Administradora de Benefícios;29/04/2019;;
417734;7,53E+12;ABBESS - ASSOCIAÇÃO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL;;Administradora de Benefícios;20/12/2010;;
314668;1,75E+13;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão;28/12/1998;;
419621;1,77E+13;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;13/11/2014;;
418901;1,05E+13;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS EIRELI;AD SALUTE;Administradora de Benefícios;13/06/2013;;
420671;2,61E+13;ADDERE ADMINISTRADORA DE BENEFÍCIOS EIRELI;ADDERE ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;13/12/2016;;
417556;9,04E+12;ADM ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;21/09/2010;;
421553;2,83E+13;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios;09/01/2019;;
416932;7,87E+12;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;30/03/2009;;
419168;1,73E+13;ADPART M2 ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;;Medicina de Grupo;22/10/2013;;
422347;3,72E+13;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios;03/09/2020;;
335657;2,04E+12;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo;28/12/1998;;
413283;3,69E+12;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo;07/03/2001;;
419907;2,29E+13;AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA;AFFIANCE LIFE BENEFÍCIOS;Administradora de Benefícios;23/09/2015;;
417424;1,12E+13;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios;16/07/2010;;
368920;2,03E+13;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão;18/12/1998;;
417742;1,04E+13;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios;20/12/2010;;
416975;6,26E+12;ALCANCE SAÚDE EIRELI;ALCANCE SAÚDE;Medicina de Grupo;03/07/2009;;
421928;3,43E+13;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;01/11/2019;;
417289;7,67E+12;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios;14/05/2010;;
