CD_OPERADO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;MODALIDADE;DATA_REGISTRO_ANS;DATA_DESCREDENCIAMENTO;MOTIVO_DESCREDENCIAMENTO
410942;3,60797E+12;24 HORAS SISTEMA DE SAUDE S/C LTDA;24 HORAS;Medicina de Grupo;23/03/2000;19/12/2003;Pedido de cancelamento
419575;1,81088E+13;A LA SANTE ADMINISTRADORA DE BENEFICIO LTDA.;A LA SANTE;Administradora de Benefícios;06/10/2014;10/10/2017;Deliberação de Diretoria Colegiada
320439;5,09286E+13;A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA;A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA;Medicina de Grupo;27/01/1999;13/12/2000;Pedido de cancelamento
406821;3,24691E+12;A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA;A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA;Odontologia de Grupo;03/08/1999;29/05/2003;Ausência de operação - Deliberação de Diretoria Colegiada
36622;9,38157E+11;A P ASSISTENCIA ODONTOLOGICA S/C LTDA;;Odontologia de Grupo;08/01/1999;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
413763;4,22048E+12;A S ASSISTENCIA ODONTOLOGICA LTDA.;ODONTOREAL;Odontologia de Grupo;28/05/2001;09/03/2016;Deliberação de Diretoria Colegiada
410683;3,45981E+12;A. J. S. ODONTOLOGIA S/C LTDA;ODONTOMIL ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;21/02/2000;22/10/2002;Ausência de operação
344818;4,33632E+13;A.I.S. -  ASSISTENCIA ODONTOLOGICA REUNIDA S/S LTDA;;Odontologia de Grupo;16/12/1998;14/05/2015;Pedido de cancelamento
36252;6,68525E+13;A.M.G. ASSISTENCIA MÉDICA GERAL S/C. LTDA.;A.M.G. SAUDE;Medicina de Grupo;28/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
415791;6,37075E+12;A.M.P VENTURINI SERVIÇOS ODONTOLÓGICOS LTDA.;SOMA;Odontologia de Grupo;25/10/2006;28/05/2012;Pedido de cancelamento
305324;6,00479E+13;A.M.S. ASSESSORIA MÉDICO SOCIAL S/C LTDA;A.M.S. ASSESS.MEDICO;Medicina de Grupo;05/01/1999;08/09/2000;Pedido de cancelamento
416258;6,06619E+12;A.N.E. PLANOS ODONTOLÓGICOS LTDA ME;SORRISO CONVÊNIO ODONTOLÓGICO;Odontologia de Grupo;19/07/2007;20/04/2011;Descumprimento da RN n.º 100/2005
346616;9,45825E+11;ABADO KASSAB S/C LTDA.;ODONTOSHER;Odontologia de Grupo;15/01/1999;26/01/2010;Pedido de cancelamento
417408;2,70137E+12;ABC ASSISTENCIAL LTDA.;ABC ASSISTENCIAL;Administradora de Benefícios;16/07/2010;04/01/2018;Pedido de cancelamento
348694;4,40439E+13;ABC CLÍNICAS S/C LTDA.;;Medicina de Grupo;29/01/1999;21/05/2002;Pedido de cancelamento
345440;1,16477E+12;ABEFI - ASSOCIAÇAO BENEFICENTE EVANGÉLICA DE FOZ DO IGUAÇU;ABEFI;Medicina de Grupo;30/12/1998;24/01/2002;Pedido de cancelamento
403342;1,05788E+12;ABIAMT ASSOC.BENEF.INTERN.DE ASSIST.MED.AOS TRAB;ABIAMT;Medicina de Grupo;08/04/1999;21/05/2002;Pedido de cancelamento
306347;6,35013E+13;ABS-ASSISTÊNCIA BUCAL SERVIÇOS S/C LTDA.;ABS ASSISTÊNCIA BUCAL SERVIÇOS;Odontologia de Grupo;22/12/1998;27/04/2018;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
348961;1,8239E+13;ACESITA ENERGÉTICA LTDA.;FLORASA;Autogestão;29/12/1998;26/10/2010;Pedido de cancelamento
316814;3,33902E+13;ACESITA S.A.;ACESITA;Autogestão;28/12/1998;26/10/2010;Pedido de cancelamento
379816;6,05001E+13;ACESITA SERVIÇOS, COMÉRCIO .IND. E PARTICIPAÇOES LTDA;CELFI;Autogestão;30/12/1998;26/10/2010;Pedido de cancelamento
326372;4,38372E+13;ACHESON DO BRASIL INDUSTRIA E COM. LTDA.;;Autogestão;19/01/1999;11/03/2003;Pedido de cancelamento
408417;3,39468E+12;ACMED ASSISTÊNCIA MÉDICA LTDA;ACMED;Medicina de Grupo;26/09/1999;11/03/2003;Ausência de operação
400386;1,89295E+12;ADCON - ADMINISTRADORA DE CONVENIOS ODONTOLÓGICOS LTDA;ODONTO SERV;Odontologia de Grupo;11/02/1999;30/06/2014;Por incorporação
413640;8,53265E+13;ADDMAKLER ADMINISTRADORA E CORRETORA DE SEGUROS LTDA;ADDMAKLER SEGUROS;Medicina de Grupo;19/04/2001;22/03/2002;Pedido de cancelamento
409723;3,57926E+13;ADEFOMM - ASSOC. EX-ALUNOS ESCOLAS DE FORM DE OFICIAIS DA MARINHA  ;CLÍNICA GERAL ADEFOMM;Autogestão;11/11/1999;19/04/2007;Descumprimento da RN n.º 100/2005
37603;6,735E+11;ADLER PTI LTDA;;Autogestão;30/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
314641;1,78538E+12;ADM DE PLANOS DE ASSIST. ODONTOLOGICA PRODENT LTDA;PRODENT;Odontologia de Grupo;29/12/1998;17/01/2008;Descumprimento da RN n.º 100/2005
318493;1,03584E+12;ADMED ASS. E ADM. NA AREA DE SAUDE;ADMED ASSESSORIA E ADMINISTRAÇAO;Medicina de Grupo;30/12/1998;02/02/2010;Descumprimento da RN n.º 100/2005
419036;8,54331E+12;ADMISA ASSISTENCIA ODONTOLOGICA LTDA;;Odontologia de Grupo;11/09/2013;14/05/2015;Descumprimento de disposição legal
418471;8,54331E+12;ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA;ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA;Odontologia de Grupo;26/03/2012;06/05/2013;Descumprimento de disposição legal
419117;1,76466E+13;ADMPLAN ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;03/10/2013;10/09/2015;Descumprimento de disposição legal
416312;5,96104E+12;ADMSAÚDE SERVIÇOS DE SAÚDE LTDA;;Administradora;20/08/2007;23/10/2008;Pedido de cancelamento
377252;4,76808E+13;ADP BRASIL LTDA;ADP SYSTEMS;Autogestão;30/12/1998;04/05/2007;Pedido de cancelamento
35887;1,9234E+12;ADPLAM ASSISTENCIA MÉDICA LTDA.;;Medicina de Grupo;05/01/1999;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
