ano;cd_ops;trimestre;receita;despesa;benef;modalidade;contratacao
2018;300713;2018Q1;2362654,1935129655;1601555,7795998321;3419,0;Cooperativa Médica;Adesao
2018;353663;2018Q2;276093,6425490936;116488,62646505758;8547,0;Cooperativa Médica;Adesao
2018;353663;2018Q3;300628,2437246196;153440,3605494384;8544,0;Cooperativa Médica;Adesao
2018;353663;2018Q4;309400,850198171;130789,88242046008;8660,0;Cooperativa Médica;Adesao
2018;353698;2018Q1;1384196,3524841957;1226777,9284820189;259,0;Cooperativa Médica;Adesao
2018;353698;2018Q2;1471987,9024841958;1314569,3784820188;265,0;Cooperativa Médica;Adesao
2018;353698;2018Q3;1509165,2624841956;1351746,698482019;266,0;Cooperativa Médica;Adesao
2018;353698;2018Q4;3246254,6025474127;2586586,754553944;267,0;Cooperativa Médica;Adesao
2018;353876;2018Q1;1006077,0596964073;856956,3567478021;866,0;Cooperativa Médica;Adesao
2018;353876;2018Q2;1018404,6796964074;645462,1367478021;869,0;Cooperativa Médica;Adesao
2018;353876;2018Q3;1055219,5850469887;965254,2281043145;859,0;Cooperativa Médica;Adesao
2018;354031;2018Q2;24411518,869946573;17809688,26850359;18190,0;Cooperativa Médica;Adesao
2018;342157;2018Q3;797232,2177966346;472651,08324184944;558,0;Cooperativa Médica;Adesao
2018;353876;2018Q4;1086374,1055601968;827113,3784000811;848,0;Cooperativa Médica;Adesao
2018;354031;2018Q3;24955964,66994657;18355964,328503594;18311,0;Cooperativa Médica;Adesao
2018;354031;2018Q4;25888717,290160283;13596688,754489224;18227,0;Cooperativa Médica;Adesao
2018;354066;2018Q1;5746262,58799877;3838367,6416156255;5147,0;Cooperativa Médica;Adesao
2018;354066;2018Q2;5858499,310849055;4079965,233791371;4726,0;Cooperativa Médica;Adesao
2018;354066;2018Q3;6022019,464456827;4262706,394112358;4664,0;Cooperativa Médica;Adesao
2018;354066;2018Q4;6068883,896695348;4282174,850480647;4662,0;Cooperativa Médica;Adesao
2018;354279;2018Q1;134693,7081816741;162102,10942443516;153,0;Cooperativa Médica;Adesao
2018;354279;2018Q2;135827,7681816741;233390,02942443514;158,0;Cooperativa Médica;Adesao
2018;354279;2018Q3;142479,30720562744;217375,51220954143;161,0;Cooperativa Médica;Adesao
2018;354279;2018Q4;146664,56643102432;183966,55894158827;162,0;Cooperativa Médica;Adesao
