trimestre;receita;receita_pred;despesa;despesa_pred;benefm;benefm_pred;avg_ticket
2018Q1;2,15;;1,58;;551754,6666666666;;1298,8864616157907
2018Q2;2,16;;1,64;;555789,6666666666;;1295,4540956440956
2018Q3;2,29;;1,85;;559564,0;;1364,1573320180237
2018Q4;2,38;;1,25;;564459,6666666666;;1405,4739074950146
2019Q1;2,37;;1,87;;566867,3333333334;;1393,6241401574266
2019Q2;2,46;;1,98;;576833,3333333334;;1421,5544640277376
2019Q3;2,55;;1,95;;577843,0;;1470,9877942624553
2019Q4;2,65;;2,08;;585833,6666666666;;1507,8227551506372
2020Q1;2,75;;2,1;;625470,0;;1465,5645621159554
2020Q2;2,79;;1,75;;630837,6666666666;;1474,2302959081392
2020Q3;2,83;;2,15;;639071,6666666666;;1476,0994463323102
2020Q4;2,98;;2,46;;648078,6666666666;;1532,7357378425254
2021Q1;3,1;;2,41;;645841,3333333334;;1599,9801808906625
2021Q2;3,14;;2,65;;649671,0;;1611,0718604750198
2021Q3;3,2;;2,67;;652617,6666666666;;1634,4434439153501
2021Q4;3,27;;2,7;;658163,0;;1656,1246985929017
2022Q1;;3,363;;2,742;;671458,4500000001;1669,500175327304
2022Q2;;3,425;;2,802;;673495,5666666667;1695,1361273499106
2022Q3;;3,485;;2,964;;679930,7755555556;1708,5072604891225
2022Q4;;3,565;;3,176;;687187,8588888888;1729,2699775789758
2023Q1;;3,639;;3,218;;697371,4422222222;1739,388690960289
2023Q2;;3,703;;3,38;;703628,978888889;1754,2389105157201
2023Q3;;3,771;;3,422;;711001,9622222222;1767,9276103138618
2023Q4;;3,8499999999999996;;3,6340000000000003;;718380,0955555555;1786,4266302379579
2024Q1;;3,9339999999999997;;3,676;;730704,0122222223;1794,6163034541125
2024Q2;;4,002;;3,7359999999999998;;735445,4622222222;1813,8666543256452
2024Q3;;4,064;;3,908;;742979,6344444444;1823,2890968533816
2024Q4;;4,143999999999999;;3,9899999999999998;;750332,6177777778;1840,9613291560722
