receita;despesa;benefm;receita_pred;despesa_pred;benefm_pred;avg_ticket;ind_sinistralidade;trimestre
2,15;1,58;551754,6666666666;;;;1298,8864616157907;73,48837209302326;2018Q1
2,16;1,64;555789,6666666666;;;;1295,4540956440956;75,92592592592592;2018Q2
2,29;1,85;559564,0;;;;1364,1573320180237;80,78602620087337;2018Q3
2,38;1,86;564459,6666666666;;;;1405,4739074950146;78,15126050420169;2018Q4
2,37;1,87;566867,3333333334;;;;1393,6241401574266;78,90295358649789;2019Q1
2,46;1,98;576833,3333333334;;;;1421,5544640277376;80,48780487804879;2019Q2
2,55;1,95;577843,0;;;;1470,9877942624553;76,47058823529413;2019Q3
2,65;2,08;585833,6666666666;;;;1507,8227551506372;78,49056603773586;2019Q4
2,75;2,1;625470,0;;;;1465,5645621159554;76,36363636363637;2020Q1
2,79;1,75;630837,6666666666;;;;1474,2302959081392;62,72401433691756;2020Q2
2,83;2,15;639071,6666666666;;;;1476,0994463323102;75,97173144876325;2020Q3
2,98;2,46;648078,6666666666;;;;1532,7357378425254;82,5503355704698;2020Q4
3,1;2,41;645841,3333333334;;;;1599,9801808906625;77,74193548387098;2021Q1
3,14;2,65;649671,0;;;;1611,0718604750198;84,39490445859872;2021Q2
3,2;2,67;652617,6666666666;;;;1634,4434439153501;83,4375;2021Q3
3,27;2,7;658163,0;;;;1656,1246985929017;82,56880733944955;2021Q4
;;;3,1198559341328003;2,453527356601564;663385,3466892497;1567,6438788320304;78,6423286331505;2022Q1
;;;2,648587483038666;2,2426098030523196;695816,5818287367;1268,814968487663;84,67191729228529;2022Q2
;;;2,195240259316529;1,7145974913663722;745605,8263749173;981,4123323890998;78,10523172075018;2022Q3
;;;1,500139969289786;0,8272137540369895;787727,3946272564;634,7965804420768;55,142438103866986;2022Q4
;;;0,6116646479142269;0,2102754485494458;860992,6781563964;236,80598121691966;34,377570988691915;2023Q1
;;;-0,4095635829786204;-0,9090065089223258;944898,6601100878;-144,48236629979033;221,94515008180718;2023Q2
;;;-1,7314469409766224;-2,1092321632427025;1041238,8085371677;-554,2906925802881;121,8190470250847;2023Q3
;;;-3,27682795639615;-3,3614261937433554;1168275,3544634185;-934,9473831595624;102,58171129131375;2023Q4
;;;-5,099985262065301;-4,984077042885386;1313382,6547230282;-1294,3638940576711;97,727283252325;2024Q1
;;;-7,231371579343175;-6,688462119688205;1485397,9123787398;-1622,7686689381753;92,49230310324776;2024Q2
;;;-9,649142313526385;-8,642669301680765;1685216,8149704596;-1908,5857336593463;89,56930078194905;2024Q3
;;;-12,414473969736038;-10,83936906552831;1910889,6769346045;-2165,5661443262015;87,31235082495228;2024Q4
