ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314218;2018Q1;10293990,14;7472277,29;16462,0;Filantropia;Grande;Adesao
2018;314218;2018Q2;10764576,15;8968399,38;15845,0;Filantropia;Grande;Adesao
2018;314218;2018Q3;11059616,65;8656257,49;14843,0;Filantropia;Grande;Adesao
2018;314218;2018Q4;11099533,95;7891506,78;14325,0;Filantropia;Grande;Adesao
2019;314218;2019Q1;10711871,57;7836762,0;13773,0;Filantropia;Grande;Adesao
2019;314218;2019Q2;10380894,3;9049882,44;13141,0;Filantropia;Grande;Adesao
2019;314218;2019Q3;10527499,64;8304540,3;12488,0;Filantropia;Grande;Adesao
2019;314218;2019Q4;10081037,88;9208570,36;11897,0;Filantropia;Grande;Adesao
2020;314218;2020Q1;9449928,86;7060310,81;11091,0;Filantropia;Grande;Adesao
2020;314218;2020Q2;9428505,58;5394899,61;10255,0;Filantropia;Grande;Adesao
2020;314218;2020Q3;9081782,99;6249054,87;9427,0;Filantropia;Grande;Adesao
2020;314218;2020Q4;8931052,62;6566016,63;8882,0;Filantropia;Grande;Adesao
2021;314218;2021Q1;8174089,04;6541991,69;8054,0;Filantropia;Grande;Adesao
2021;314218;2021Q2;7625807,26;5666184,17;7107,0;Filantropia;Grande;Adesao
2021;314218;2021Q3;7124889,04;5772645,5;6274,0;Filantropia;Grande;Adesao
2021;314218;2021Q4;6584648,04;6274830,45;5819,0;Filantropia;Grande;Adesao
2018;314706;2018Q1;24428,56;195,14;44,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q2;24964,79;0,0;43,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q3;24627,8;0,0;39,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q4;25077,14;0,0;40,0;Filantropia;Pequeno;Adesao
2019;314706;2019Q1;26277,82;0,0;40,0;Filantropia;Pequeno;Adesao
2019;314706;2019Q2;27416,18;58,34;39,0;Filantropia;Pequeno;Adesao
2019;314706;2019Q3;27773,13;6427,71;35,0;Filantropia;Pequeno;Adesao
2019;314706;2019Q4;28592,76;366,42;35,0;Filantropia;Pequeno;Adesao
2020;314706;2020Q1;28476,58;258,56;34,0;Filantropia;Pequeno;Adesao
2020;314706;2020Q2;26070,14;3095,11;25,0;Filantropia;Pequeno;Adesao
2020;314706;2020Q3;21114,42;0,0;24,0;Filantropia;Pequeno;Adesao
2020;314706;2020Q4;21829,13;2053,42;12,0;Filantropia;Pequeno;Adesao
2021;314706;2021Q1;17010,3;81,36;12,0;Filantropia;Pequeno;Adesao
2021;314706;2021Q2;16442,5;0,0;12,0;Filantropia;Pequeno;Adesao
2021;314706;2021Q3;16524,25;0,0;12,0;Filantropia;Pequeno;Adesao
2021;314706;2021Q4;16702,55;0,0;12,0;Filantropia;Pequeno;Adesao
2018;318299;2018Q1;567675,26;437899,55;941,0;Filantropia;Médio;Adesao
2018;318299;2018Q2;536191,48;573685,63;880,0;Filantropia;Médio;Adesao
2018;318299;2018Q3;448859,6;523327,7;886,0;Filantropia;Médio;Adesao
2018;318299;2018Q4;528155,73;577684,05;870,0;Filantropia;Médio;Adesao
2019;318299;2019Q1;0,0;533237,16;851,0;Filantropia;Médio;Adesao
2019;318299;2019Q2;0,0;587314,71;851,0;Filantropia;Médio;Adesao
2019;318299;2019Q3;0,0;463105,13;844,0;Filantropia;Médio;Adesao
2019;318299;2019Q4;0,0;542260,8;825,0;Filantropia;Médio;Adesao
2020;318299;2020Q1;543939,1;659734,68;850,0;Filantropia;Médio;Adesao
2020;318299;2020Q2;554593,36;273230,01;863,0;Filantropia;Médio;Adesao
2020;318299;2020Q3;545124,23;385651,74;855,0;Filantropia;Médio;Adesao
2020;318299;2020Q4;534614,3;611355,68;842,0;Filantropia;Médio;Adesao
2021;318299;2021Q1;544612,69;269482,09;843,0;Filantropia;Médio;Adesao
2021;318299;2021Q2;548860,9;296012,28;942,0;Filantropia;Médio;Adesao
2021;318299;2021Q3;541928,49;282098,33;930,0;Filantropia;Médio;Adesao
2021;318299;2021Q4;551825,44;626866,77;938,0;Filantropia;Médio;Adesao
2018;319422;2018Q1;284451,25;147702,67;1392,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q2;293643,97;139240,83;1388,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q3;307584,78;203416,12;1350,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q4;307687,56;195688,26;1339,0;Filantropia;Pequeno;Adesao
2019;319422;2019Q1;1241935,43;640779,92;1395,0;Filantropia;Pequeno;Adesao
2019;319422;2019Q2;1120130,22;809296,08;1388,0;Filantropia;Pequeno;Adesao
2019;319422;2019Q3;1166195,09;847037,98;1362,0;Filantropia;Pequeno;Adesao
2019;319422;2019Q4;1192425,1;825773,41;1339,0;Filantropia;Pequeno;Adesao
2020;319422;2020Q1;1209372,56;818296,79;1358,0;Filantropia;Pequeno;Adesao
2020;319422;2020Q2;1222702,65;482078,42;1339,0;Filantropia;Pequeno;Adesao
2020;319422;2020Q3;1164209,95;545490,66;1179,0;Filantropia;Pequeno;Adesao
2020;319422;2020Q4;1207252,05;729154,06;1163,0;Filantropia;Pequeno;Adesao
2021;319422;2021Q1;1159894,54;588436,17;1172,0;Filantropia;Pequeno;Adesao
2021;319422;2021Q2;1176131,64;1024516,45;1139,0;Filantropia;Pequeno;Adesao
2021;319422;2021Q3;1171075,15;670968,26;1131,0;Filantropia;Pequeno;Adesao
2021;319422;2021Q4;1186250,22;788453,06;1160,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q1;1363648,63;759734,54;2685,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q2;1415366,57;978208,53;2710,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q3;1494652,09;917810,39;2706,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q4;1648827,13;934799,99;2705,0;Filantropia;Pequeno;Adesao
2019;321320;2019Q1;1533553,82;1013018,27;2710,0;Filantropia;Pequeno;Adesao
2019;321320;2019Q2;1608337,73;1145470,97;2694,0;Filantropia;Pequeno;Adesao
2019;321320;2019Q3;1611620,31;933395,58;2662,0;Filantropia;Pequeno;Adesao
2019;321320;2019Q4;1873389,26;817135,5;2659,0;Filantropia;Pequeno;Adesao
2020;321320;2020Q1;1681909,6;927483,92;2638,0;Filantropia;Pequeno;Adesao
2020;321320;2020Q2;1682194,32;567918,27;2628,0;Filantropia;Pequeno;Adesao
2020;321320;2020Q3;1696900,46;688105,06;2618,0;Filantropia;Pequeno;Adesao
2020;321320;2020Q4;1761371,26;849269,51;2600,0;Filantropia;Pequeno;Adesao
2021;321320;2021Q1;1731992,56;1343704,66;2583,0;Filantropia;Pequeno;Adesao
2021;321320;2021Q2;1765147,76;1105561,44;2570,0;Filantropia;Pequeno;Adesao
2021;321320;2021Q3;1896658,43;1181237,46;2551,0;Filantropia;Pequeno;Adesao
2021;321320;2021Q4;1856251,23;1438314,24;2543,0;Filantropia;Pequeno;Adesao
2020;321931;2020Q1;0,0;22364,31;58,0;Filantropia;Pequeno;Adesao
2020;321931;2020Q2;34585,39;78895,35;75,0;Filantropia;Pequeno;Adesao
2020;321931;2020Q3;63955,18;66724,9;92,0;Filantropia;Pequeno;Adesao
2020;321931;2020Q4;76904,15;89682,41;117,0;Filantropia;Pequeno;Adesao
2021;321931;2021Q1;85375,93;72084,97;72,0;Filantropia;Pequeno;Adesao
2021;321931;2021Q2;72114,87;113242,04;58,0;Filantropia;Pequeno;Adesao
2021;321931;2021Q3;66757,06;223066,58;55,0;Filantropia;Pequeno;Adesao
2021;321931;2021Q4;61696,89;58780,84;48,0;Filantropia;Pequeno;Adesao
2018;322326;2018Q1;0,0;850744,53;1,0;Filantropia;Médio;Adesao
2018;323942;2018Q1;367809,66;176279,35;573,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q2;479230,29;246315,48;782,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q3;545108,74;262226,98;797,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q4;508904,27;285821,24;816,0;Filantropia;Pequeno;Adesao
2019;323942;2019Q1;561009,96;370445,95;871,0;Filantropia;Pequeno;Adesao
2019;323942;2019Q2;590809,16;484482,35;870,0;Filantropia;Pequeno;Adesao
2019;323942;2019Q3;569003,39;304129,91;891,0;Filantropia;Pequeno;Adesao
2019;323942;2019Q4;631462,16;334240,87;895,0;Filantropia;Pequeno;Adesao
2020;323942;2020Q1;637412,09;318194,48;882,0;Filantropia;Pequeno;Adesao
2020;323942;2020Q2;643377,18;230820,68;880,0;Filantropia;Pequeno;Adesao
2020;323942;2020Q3;644649,57;410259,14;882,0;Filantropia;Pequeno;Adesao
2020;323942;2020Q4;639419,05;358583,31;885,0;Filantropia;Pequeno;Adesao
2021;323942;2021Q1;562178,92;410990,45;878,0;Filantropia;Pequeno;Adesao
2021;323942;2021Q2;680180,02;338992,59;879,0;Filantropia;Pequeno;Adesao
2021;323942;2021Q3;812406,87;738587,46;886,0;Filantropia;Pequeno;Adesao
2021;323942;2021Q4;732485,99;423155,97;880,0;Filantropia;Pequeno;Adesao
2018;326755;2018Q1;8653,76;5845,0;14,0;Filantropia;Médio;Adesao
2018;326755;2018Q2;10539,61;4476,69;14,0;Filantropia;Médio;Adesao
2018;326755;2018Q3;10799,48;2736,28;14,0;Filantropia;Médio;Adesao
2019;326755;2019Q2;174232,59;732324,77;100,0;Filantropia;Médio;Adesao
2019;326755;2019Q3;80747,53;85785,43;136,0;Filantropia;Médio;Adesao
2019;326755;2019Q4;101589,27;82668,37;142,0;Filantropia;Médio;Adesao
2020;326755;2020Q1;111016,24;206889,87;191,0;Filantropia;Médio;Adesao
2020;326755;2020Q2;147576,85;209982,75;456,0;Filantropia;Médio;Adesao
2020;326755;2020Q3;335067,68;285747,97;1070,0;Filantropia;Médio;Adesao
2020;326755;2020Q4;589378,52;489543,08;1576,0;Filantropia;Médio;Adesao
2021;326755;2021Q1;811435,01;737918,45;1872,0;Filantropia;Médio;Adesao
2021;326755;2021Q2;949292,28;778204,51;2280,0;Filantropia;Médio;Adesao
2021;326755;2021Q3;1112527,96;970515,12;2528,0;Filantropia;Médio;Adesao
2021;326755;2021Q4;1228257,92;1146542,74;2666,0;Filantropia;Médio;Adesao
2018;330116;2018Q1;79522,92;32189,66;644,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q2;79658,03;39366,89;696,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q3;76151,38;28979,18;726,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q4;76792,84;33763,9;768,0;Filantropia;Pequeno;Adesao
2019;330116;2019Q1;84669,28;50820,12;808,0;Filantropia;Pequeno;Adesao
2019;330116;2019Q2;81587,7;34016,2;866,0;Filantropia;Pequeno;Adesao
2019;330116;2019Q3;79557,12;28392,19;905,0;Filantropia;Pequeno;Adesao
2019;330116;2019Q4;80080,09;31840,09;965,0;Filantropia;Pequeno;Adesao
2020;330116;2020Q1;79227,35;43808,03;1041,0;Filantropia;Pequeno;Adesao
2020;330116;2020Q2;199001,55;21136,13;972,0;Filantropia;Pequeno;Adesao
2020;330116;2020Q3;60400,81;24110,81;1074,0;Filantropia;Pequeno;Adesao
2020;330116;2020Q4;66933,14;32867,56;1119,0;Filantropia;Pequeno;Adesao
2021;330116;2021Q1;285404,15;369829,48;1149,0;Filantropia;Pequeno;Adesao
2021;330116;2021Q2;526792,51;648089,19;1166,0;Filantropia;Pequeno;Adesao
2021;330116;2021Q3;552988,27;582294,4;1147,0;Filantropia;Pequeno;Adesao
2021;330116;2021Q4;548132,85;384783,07;1120,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q1;2173110,92;1557881,58;2584,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q2;2053158,92;2036615,27;2521,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q3;1967290,66;1669414,06;2505,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q4;2316017,18;1796173,99;2765,0;Filantropia;Pequeno;Adesao
2019;333808;2019Q1;2587536,88;2098605,57;2721,0;Filantropia;Pequeno;Adesao
2019;333808;2019Q2;2885504,87;2147427,51;2664,0;Filantropia;Pequeno;Adesao
2019;333808;2019Q3;2581171,69;2212173,73;2609,0;Filantropia;Pequeno;Adesao
2019;333808;2019Q4;2577291,81;2424514,49;2575,0;Filantropia;Pequeno;Adesao
2020;333808;2020Q1;2619645,17;2351673,35;2555,0;Filantropia;Pequeno;Adesao
2020;333808;2020Q2;2621026,07;1828546,03;2550,0;Filantropia;Pequeno;Adesao
2020;333808;2020Q3;2620840,01;2043622,34;2516,0;Filantropia;Pequeno;Adesao
2020;333808;2020Q4;2528891,46;2728380,33;2503,0;Filantropia;Pequeno;Adesao
2021;333808;2021Q1;2635783,29;2494993,78;2485,0;Filantropia;Pequeno;Adesao
2021;333808;2021Q2;2680030,14;2730706,95;2442,0;Filantropia;Pequeno;Adesao
2021;333808;2021Q3;2680425,95;2588779,23;2424,0;Filantropia;Pequeno;Adesao
2021;333808;2021Q4;2669149,07;2444279,93;2420,0;Filantropia;Pequeno;Adesao
