trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;30,45;21,42;44489,0;21;70,34
2018Q2;31,13;24,73;44496,0;21;79,44
2018Q3;32,23;24,15;43543,0;21;74,93
2018Q4;33,6;23,14;43230,0;21;68,87
2019Q1;33,5;22,8;42011,0;20;68,06
2019Q2;33,8;25,39;41689,0;20;75,12
2019Q3;34,64;25,91;41370,0;20;74,8
2019Q4;35,23;27,44;41767,0;20;77,89
2020Q1;35,34;24,61;42085,0;22;69,64
2020Q2;36,08;18,44;41567,0;22;51,11
2020Q3;35,88;22,92;41534,0;22;63,88
2020Q4;36,85;27,15;41603,0;22;73,68
2021Q1;37,31;28,36;41340,0;22;76,01
2021Q2;37,32;29,41;41333,0;22;78,8
2021Q3;38,36;31,45;41022,0;22;81,99
2021Q4;38,24;29,98;41170,0;22;78,4
