trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;30,52;22,51;44490;22;73,75
2018Q2;31,23;24,73;44496;21;79,19
2018Q3;32,32;24,25;43543;21;75,03
2018Q4;33,33;22,8;43121;20;68,41
2019Q1;33,53;23,21;42763;20;69,22
2019Q2;33,94;26,4;42540;21;77,78
2019Q3;34,59;26,36;42214;21;76,21
2019Q4;35,09;27,69;42592;21;78,91
2020Q1;35,19;24,39;42085;22;69,31
2020Q2;35,98;18,94;41567;22;52,64
2020Q3;35,93;22,66;41534;22;63,07
2020Q4;37,06;27,15;41603;22;73,26
2021Q1;37,36;27,66;41340;22;74,04
2021Q2;37,51;29,21;41333;22;77,87
2021Q3;34,29;28,66;38364;21;83,58
2021Q4;42,07;33,66;41170;21;80,01
