ano;cd_ops;trimestre;receita;despesa;benef;modalidade;contratacao
2018;301728;2018Q1;608528,4807760769;271545,221206308;1132,0;Medicina de Grupo;Adesao
2018;414581;2018Q1;1791726,9381749257;1090734,509126973;2807,0;Medicina de Grupo;Adesao
2018;420000;2018Q1;217608,43275471922;135931,88530551814;142,0;Medicina de Grupo;Adesao
2018;419699;2018Q4;234889,32472692148;115487,3196523395;1328,0;Medicina de Grupo;Adesao
2018;419699;2018Q3;227766,47731047843;116571,98623177366;998,0;Medicina de Grupo;Adesao
2018;419699;2018Q2;165627,89398130006;93597,86205794342;740,0;Medicina de Grupo;Adesao
2018;419699;2018Q1;84171,43398130006;43101,14205794342;675,0;Medicina de Grupo;Adesao
2018;419249;2018Q4;5332245,7784658065;4354127,496240113;4136,0;Medicina de Grupo;Adesao
2018;419249;2018Q3;4880060,476657317;3607492,513673228;4130,0;Medicina de Grupo;Adesao
2018;419249;2018Q2;5023385,538219559;4192665,4164134297;4607,0;Medicina de Grupo;Adesao
2018;419249;2018Q1;4387718,686657317;3581332,523673228;4660,0;Medicina de Grupo;Adesao
2018;419141;2018Q4;243917,4405942272;191666,5148745678;301,0;Medicina de Grupo;Adesao
2018;419141;2018Q3;251494,9305942272;160055,06487456782;311,0;Medicina de Grupo;Adesao
2018;419141;2018Q2;265905,792864199;222887,89670781477;337,0;Medicina de Grupo;Adesao
2018;420000;2018Q2;222524,95275471924;238174,15530551816;145,0;Medicina de Grupo;Adesao
2018;419141;2018Q1;261500,1659473466;209489,7235430496;444,0;Medicina de Grupo;Adesao
2018;418919;2018Q3;191616,12631591785;180662,57119853364;440,0;Medicina de Grupo;Adesao
2018;418919;2018Q2;191634,38631591783;179393,94119853363;412,0;Medicina de Grupo;Adesao
2018;418919;2018Q1;190127,75536602296;139336,63193362893;391,0;Medicina de Grupo;Adesao
2018;418854;2018Q4;1733858,270138461;1340066,3310584098;2983,0;Medicina de Grupo;Adesao
2018;418854;2018Q3;1670562,6301384608;1386985,9510584096;3017,0;Medicina de Grupo;Adesao
2018;418854;2018Q2;1678248,5840132819;1565216,7372980143;2950,0;Medicina de Grupo;Adesao
