trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,1;1,48;1200540,0;122;134,55
2018Q2;1,14;1,58;1222024,0;122;138,6
2018Q3;1,21;1,6;1209997,0;122;132,23
2018Q4;1,2;1,57;1204469,0;122;130,83
2019Q1;1,22;0,96;1239613,0;127;78,69
2019Q2;1,23;1,14;1286846,0;127;92,68
2019Q3;1,39;1,16;1299982,0;127;83,45
2019Q4;1,4;1,15;1347563,0;127;82,14
2020Q1;1,3;0,8;1400252,0;140;61,54
2020Q2;1,31;0,66;1441729,0;140;50,38
2020Q3;1,34;0,99;1465255,0;140;73,88
2020Q4;1,32;0,93;1504530,0;140;70,45
2021Q1;1,43;1,05;1504627,0;148;73,43
2021Q2;1,47;1,2;1561352,0;148;81,63
2021Q3;1,53;1,15;1581976,0;148;75,16
2021Q4;1,71;1,35;1605407,0;148;78,95
