ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;303976;2018Q1;29314392,257021092;23298026,977991868;27209;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q1;100884002,77927028;71227129,01318298;50901;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q2;4388045,611102279;4255788,456774967;6692;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q3;4596013,001102278;4967336,846774965;6736;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q4;4842097,206693164;3878879,6696751034;7581;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q1;24897326,090748765;16197283,210893944;17344;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q2;25114287,88324387;18107498,270552993;17281;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q3;26288810,372763503;18374832,618000064;17738;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q3;8825184,270354183;6568598,736845909;9766;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q4;27220437,763243865;15133373,340553;17819;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q2;5795302,944804549;3579831,9007806745;15396;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q3;6482573,271842243;3842355,3168511325;17581;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q4;6691629,778548658;3205775,9115875177;21335;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q1;23833797,26407827;15648735,002252674;18208;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q2;24326905,81193212;16672915,125207096;18190;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q3;24930741,978229072;19346626,428201795;18311;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q1;4058211,661102278;4314679,056774966;6667;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q1;8547614,194965357;5888076,302815536;9276;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q2;8721936,27432627;6255036,223492643;9230;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q2;46726364,59328353;37564626,02031801;35313;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q4;107338024,5015513;49093629,242737666;50702;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q1;17848781,728095688;12399843,884145252;23796;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q2;18251660,17809569;13622636,61414526;24061;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q3;19052061,01093486;14603819,059816059;24146;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q4;19771618,44287376;11826994,311893426;24506;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q1;28753857,9789974;17359388,46831961;12762;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q2;29341094,52373125;18387493,63346304;12581;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q3;29743977,843635686;19614069,10910868;12315;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q4;30310887,503635682;10835315,169108678;12106;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q1;262877203,29931998;187771322,94614926;237981;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q2;269908859,5493831;182071559,25485912;241921;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q3;279239050,801977;193317024,88284227;243797;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q4;289361587,9693199;115097762,23614922;246253;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q1;43443597,663283534;35415650,61031801;32789;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q3;49746606,44082834;34231761,59115662;37904;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q4;51585759,452604614;27120340,258207373;39301;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q4;8978221,990354186;4915615,476845917;8839;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q3;105696311,1576272;78734105,5513417;51437;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q1;16142349,281670436;11661749,871083692;13345;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q4;17432380,86781667;3808992,7941253716;13515;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q4;55881281,67281369;36076254,00299168;43788;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q1;1456294,5903508149;845837,3695235318;1945;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q2;1962056,964042093;1444763,2414649748;2129;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q3;2025953,5117300225;1528983,587816092;2346;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q4;2098392,1838770695;1260071,701195401;2558;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q1;62572204,0125004;35871786,96762997;61189;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q3;55855745,19281368;56803823,93299174;43685;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q3;66078705,07744401;41367963,95277262;61222;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q4;68349941,04851061;34474213,165603906;61449;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q1;432003286,6552154;237720780,57955593;218785;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q2;440955061,8397445;257598232,07427377;219244;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q3;456212438,4442914;274143707,7197765;226489;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q4;471893225,46074855;228459119,4463937;235644;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q2;63868796,701545;38871271,08399348;61001;Cooperativa Médica;Grande;Adesao
