trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;2,15;1,58;1655264;38;73,49
2018Q2;2,16;1,64;1667369;38;75,93
2018Q3;2,29;1,85;1678692;38;80,79
2018Q4;2,38;1,25;1693379;38;52,52
2019Q1;2,37;1,87;1700602;38;78,9
2019Q2;2,46;1,98;1730500;38;80,49
2019Q3;2,55;1,95;1733529;38;76,47
2019Q4;2,65;2,08;1757501;38;78,49
2020Q1;2,75;2,1;1876410;39;76,36
2020Q2;2,79;1,75;1892513;39;62,72
2020Q3;2,83;2,15;1917215;39;75,97
2020Q4;2,98;2,46;1944236;39;82,55
2021Q1;3,1;2,41;1937524;39;77,74
2021Q2;3,14;2,65;1949013;39;84,39
2021Q3;3,2;2,67;1957853;39;83,44
2021Q4;3,27;2,7;1974489;39;82,57
