receita;despesa;benefm;receita_pred;despesa_pred;benefm_pred;avg_ticket;ind_sinistralidade;trimestre
2,15;1,58;551754,6666666666;;;;1298,8864616157907;73,48837209302326;2018Q1
2,16;1,64;555789,6666666666;;;;1295,4540956440956;75,92592592592592;2018Q2
2,29;1,85;559564,0;;;;1364,1573320180237;80,78602620087337;2018Q3
2,38;1,86;564459,6666666666;;;;1405,4739074950146;78,15126050420169;2018Q4
2,37;1,87;566867,3333333334;;;;1393,6241401574266;78,90295358649789;2019Q1
2,46;1,98;576833,3333333334;;;;1421,5544640277376;80,48780487804879;2019Q2
2,55;1,95;577843,0;;;;1470,9877942624553;76,47058823529413;2019Q3
2,65;2,08;585833,6666666666;;;;1507,8227551506372;78,49056603773586;2019Q4
2,75;2,1;625470,0;;;;1465,5645621159554;76,36363636363637;2020Q1
2,79;1,75;630837,6666666666;;;;1474,2302959081392;62,72401433691756;2020Q2
2,83;2,15;639071,6666666666;;;;1476,0994463323102;75,97173144876325;2020Q3
2,98;2,46;648078,6666666666;;;;1532,7357378425254;82,5503355704698;2020Q4
3,1;2,41;645841,3333333334;;;;1599,9801808906625;77,74193548387098;2021Q1
3,14;2,65;649671,0;;;;1611,0718604750198;84,39490445859872;2021Q2
3,2;2,67;652617,6666666666;;;;1634,4434439153501;83,4375;2021Q3
3,27;2,7;658163,0;;;;1656,1246985929017;82,56880733944955;2021Q4
;;;3,3119888200245637;2,811465563756636;665736,0852465068;1658,3091976045382;84,88753182855805;2022Q1
;;;3,372009966450151;2,8762356817066297;667549,9386559454;1683,7741374272834;85,29736597233601;2022Q2
;;;3,441562239877232;3,0072785249192058;671833,802156948;1707,5464342659177;87,38120409603523;2022Q3
;;;3,500243595086468;3,1003897824271864;677898,2769423923;1721,1252848898637;88,57640041908559;2022Q4
;;;3,5537228922744273;3,1602100253321743;680668,4048917859;1740,3103903627425;88,92674305591677;2023Q1
;;;3,611133897459824;3,300977718332531;685504,2193283577;1755,9502410249863;91,41111385137323;2023Q2
;;;3,674620543307503;3,402837268185066;690141,1710013924;1774,8158868113128;92,60377304488135;2023Q3
;;;3,7317880232222755;3,495320246044063;693131,8486428577;1794,6503879596469;93,6634188301502;2023Q4
;;;3,786620563322396;3,635063897483578;697903,7428684708;1808,5686849206052;95,99757453105252;2024Q1
;;;3,8474988540149617;3,7406859254328473;701790,3847407808;1827,4682097257603;97,22383468754896;2024Q2
;;;3,9046629823405024;3,859308305388432;705105,9926873663;1845,8988307363943;98,83844835886747;2024Q3
;;;3,9603646062184037;4,000886908366897;709484,4573234017;1860,677174502765;101,0231962502863;2024Q4
