receita;despesa;benefm;receita_pred;despesa_pred;benefm_pred;avg_ticket;ind_sinistralidade;trimestre
2,15;1,58;551754,6666666666;;;;1298,8864616157907;73,48837209302326;2018Q1
2,16;1,64;555789,6666666666;;;;1295,4540956440956;75,92592592592592;2018Q2
2,29;1,85;559564,0;;;;1364,1573320180237;80,78602620087337;2018Q3
2,38;1,86;564459,6666666666;;;;1405,4739074950146;78,15126050420169;2018Q4
2,37;1,87;566867,3333333334;;;;1393,6241401574266;78,90295358649789;2019Q1
2,46;1,98;576833,3333333334;;;;1421,5544640277376;80,48780487804879;2019Q2
2,55;1,95;577843,0;;;;1470,9877942624553;76,47058823529413;2019Q3
2,65;2,08;585833,6666666666;;;;1507,8227551506372;78,49056603773586;2019Q4
2,75;2,1;625470,0;;;;1465,5645621159554;76,36363636363637;2020Q1
2,79;1,75;630837,6666666666;;;;1474,2302959081392;62,72401433691756;2020Q2
2,83;2,15;639071,6666666666;;;;1476,0994463323102;75,97173144876325;2020Q3
2,98;2,46;648078,6666666666;;;;1532,7357378425254;82,5503355704698;2020Q4
3,1;2,41;645841,3333333334;;;;1599,9801808906625;77,74193548387098;2021Q1
3,14;2,65;649671,0;;;;1611,0718604750198;84,39490445859872;2021Q2
3,2;2,67;652617,6666666666;;;;1634,4434439153501;83,4375;2021Q3
3,27;2,7;658163,0;;;;1656,1246985929017;82,56880733944955;2021Q4
;;;3,3426540596779066;2,5771791010421508;666518,27485167;1671,6991295408948;77,0997852314542;2022Q1
;;;3,3875495025610216;2,236501421924287;669094,6277201048;1687,6285068495572;66,02121740902885;2022Q2
;;;3,4200452471899236;1,9691277711852433;677708,6236801029;1682,1610977976277;57,576073673387064;2022Q3
;;;3,453946559095956;1,509578736457598;685028,0031959281;1680,6838761733934;43,705908896654115;2022Q4
;;;3,4654036423536865;1,018239536816317;694089,3590959902;1664,2447147665862;29,38299955513215;2023Q1
;;;3,4622304932781622;0,38696377075200994;701988,5890686922;1644,0108130871483;11,17671892449942;2023Q2
;;;3,4295890425660236;-0,3404963257278615;708804,1941103293;1612,8521205449626;-9,928196104600964;2023Q3
;;;3,369130299853468;-1,1873886770288755;713856,2808918246;1573,206629045086;-35,24318062381019;2023Q4
;;;3,275818998389898;-2,1511650461685443;716770,852725313;1523,4152755768214;-65,66800690837516;2024Q1
;;;3,1491335985613818;-3,2315304566831538;717481,3432840556;1463,0501675705218;-102,61649293505405;2024Q2
;;;2,982013214465457;-4,456313617781754;714421,3228436878;1391,3420177120086;-149,43976760949982;2024Q3
;;;2,7694189047841173;-5,8102186678657395;707578,0872428896;1304,6470086787099;-209,79919859103654;2024Q4
