trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;14,28;10,23;24320;2;71,64
2018Q2;14,88;11,77;23958;2;79,1
2018Q3;15,68;11,84;23080;2;75,51
2018Q4;15,96;10,66;22545;2;66,79
2019Q1;15,56;10,75;21998;2;69,09
2019Q2;15,25;11,96;21510;2;78,43
2019Q3;15,81;11,37;20940;2;71,92
2019Q4;15,53;13,37;20368;2;86,09
2020Q1;14,89;10,16;19529;2;68,23
2020Q2;15,1;7,99;18780;2;52,91
2020Q3;14,87;9,19;18067;2;61,8
2020Q4;15,38;11,77;17512;2;76,53
2021Q1;15,1;11,43;16832;2;75,7
2021Q2;14,26;9,94;16254;2;69,71
2021Q3;14,09;10,94;15788;2;77,64
2021Q4;13,36;11,47;15837;2;85,85
