trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;0,72;1,22;734490;19;169,44
2018Q2;0,75;1,26;753154;19;168,0
2018Q3;0,84;1,32;734867;19;157,14
2018Q4;0,8;1,24;733612;19;155,0
2019Q1;0,8;0,66;774395;23;82,5
2019Q2;0,81;0,81;805987;23;100,0
2019Q3;0,94;0,8;820227;23;85,11
2019Q4;0,95;0,79;844446;23;83,16
2020Q1;0,83;0,46;879554;24;55,42
2020Q2;0,84;0,38;916912;24;45,24
2020Q3;0,87;0,68;931088;24;78,16
2020Q4;0,84;0,56;956458;24;66,67
2021Q1;0,95;0,69;944686;25;72,63
2021Q2;0,97;0,8;989345;25;82,47
2021Q3;1,02;0,74;1005305;25;72,55
2021Q4;1,18;0,95;1075890;25;80,51
