ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;5711;2018Q1;74317993,07;69815554,41;34014,0;Seguradora;Grande;Adesao
2018;5711;2018Q2;76823697,83;78781955,69;33154,0;Seguradora;Grande;Adesao
2018;5711;2018Q3;82702335,47;82342336,57;33016,0;Seguradora;Grande;Adesao
2018;5711;2018Q4;81654031,31;75967111,14;32914,0;Seguradora;Grande;Adesao
2019;5711;2019Q1;76806566,89;84140627,53;32558,0;Seguradora;Grande;Adesao
2019;5711;2019Q2;99218330,98;81920596,88;32353,0;Seguradora;Grande;Adesao
2019;5711;2019Q3;91664757,18;95184740,88;32121,0;Seguradora;Grande;Adesao
2019;5711;2019Q4;97295074,77;92289724,28;31885,0;Seguradora;Grande;Adesao
2020;5711;2020Q1;86157593,42;89852233,47;31663,0;Seguradora;Grande;Adesao
2020;5711;2020Q2;93917259,6;74035179,39;31449,0;Seguradora;Grande;Adesao
2020;5711;2020Q3;81201397,57;89214599,87;31319,0;Seguradora;Grande;Adesao
2020;5711;2020Q4;88704861,11;89662563,74;31115,0;Seguradora;Grande;Adesao
2021;5711;2021Q1;98540885,36;96049589,59;30793,0;Seguradora;Grande;Adesao
2021;5711;2021Q2;101586530,3;99855239,86;30448,0;Seguradora;Grande;Adesao
2021;5711;2021Q3;101636154,0;98536840,85;30143,0;Seguradora;Grande;Adesao
2021;5711;2021Q4;71375955,2;106494494,2;29865,0;Seguradora;Grande;Adesao
2018;5711;2018Q1;222799138,6;212917177,0;90891,0;Seguradora;Grande;Adesao
2018;5711;2018Q2;233236986,1;220800671,5;87107,0;Seguradora;Grande;Adesao
2018;5711;2018Q3;215139294,3;222209469,9;84860,0;Seguradora;Grande;Adesao
2018;5711;2018Q4;221774157,1;210176488,1;85942,0;Seguradora;Grande;Adesao
2019;5711;2019Q1;239000564,0;225369127,8;85019,0;Seguradora;Grande;Adesao
2019;5711;2019Q2;231690619,0;213364197,0;84278,0;Seguradora;Grande;Adesao
2019;5711;2019Q3;238955703,8;230911216,9;88274,0;Seguradora;Grande;Adesao
2019;5711;2019Q4;256630228,9;233255039,6;90223,0;Seguradora;Grande;Adesao
2020;5711;2020Q1;259766274,5;225882695,1;89131,0;Seguradora;Grande;Adesao
2020;5711;2020Q2;266188008,0;183636137,0;92001,0;Seguradora;Grande;Adesao
2020;5711;2020Q3;290602771,1;249890304,9;103494,0;Seguradora;Grande;Adesao
2020;5711;2020Q4;325040560,4;275639774,4;104442,0;Seguradora;Grande;Adesao
2021;5711;2021Q1;316071952,4;294768197,2;98709,0;Seguradora;Grande;Adesao
2021;5711;2021Q2;301521126,7;295708623,4;97370,0;Seguradora;Grande;Adesao
2021;5711;2021Q3;306388499,6;308047222,2;95057,0;Seguradora;Grande;Adesao
2021;5711;2021Q4;302203247,3;312898598,6;92629,0;Seguradora;Grande;Adesao
2018;6246;2018Q1;1032808106,0;799551352,6;341450,0;Seguradora;Grande;Adesao
2018;6246;2018Q2;1054936941,0;901857691,0;340659,0;Seguradora;Grande;Adesao
2018;6246;2018Q3;1160787968,0;931626227,3;329547,0;Seguradora;Grande;Adesao
2018;6246;2018Q4;1139271337,0;927312184,8;335494,0;Seguradora;Grande;Adesao
2019;6246;2019Q1;1129399246,0;926324263,0;332604,0;Seguradora;Grande;Adesao
2019;6246;2019Q2;1122393795,0;1002210882,0;325170,0;Seguradora;Grande;Adesao
2019;6246;2019Q3;1220815873,0;1023658707,0;305174,0;Seguradora;Grande;Adesao
2019;6246;2019Q4;1151281538,0;979178001,4;294914,0;Seguradora;Grande;Adesao
2020;6246;2020Q1;1128570196,0;939837146,1;287499,0;Seguradora;Grande;Adesao
2020;6246;2020Q2;1106034422,0;723879974,4;282997,0;Seguradora;Grande;Adesao
2020;6246;2020Q3;1223117156,0;887607754,5;267323,0;Seguradora;Grande;Adesao
2020;6246;2020Q4;1176477162,0;945982312,3;265407,0;Seguradora;Grande;Adesao
2021;6246;2021Q1;1120319582,0;874443593,7;254809,0;Seguradora;Grande;Adesao
2021;6246;2021Q2;1049260995,0;912351192,1;243648,0;Seguradora;Grande;Adesao
2021;6246;2021Q3;1070380421,0;999948898,0;234024,0;Seguradora;Grande;Adesao
2021;6246;2021Q4;1016680675,0;982351739,3;232758,0;Seguradora;Grande;Adesao
2018;701;2018Q1;55691193,53;37036942,86;24053,0;Seguradora;Grande;Adesao
2018;701;2018Q2;56947147,97;37140323,76;24085,0;Seguradora;Grande;Adesao
2018;701;2018Q3;59759550,8;38597826,02;24266,0;Seguradora;Grande;Adesao
2018;701;2018Q4;60751465,33;34916025,99;24717,0;Seguradora;Grande;Adesao
2019;701;2019Q1;64742462,9;39517564,5;26080,0;Seguradora;Grande;Adesao
2019;701;2019Q2;71202110,32;17700259,47;27415,0;Seguradora;Grande;Adesao
2019;701;2019Q3;74505453,09;31537290,69;30306,0;Seguradora;Grande;Adesao
2019;701;2019Q4;81621399,29;54956943,4;31160,0;Seguradora;Grande;Adesao
2020;701;2020Q1;84186048,57;52649887,44;33126,0;Seguradora;Grande;Adesao
2020;701;2020Q2;87176312,1;49336665,59;34411,0;Seguradora;Grande;Adesao
2020;701;2020Q3;88477608,1;60402992,26;35359,0;Seguradora;Grande;Adesao
2020;701;2020Q4;92525608,33;64235294,13;34225,0;Seguradora;Grande;Adesao
2021;701;2021Q1;91948661,27;67082130,43;36397,0;Seguradora;Grande;Adesao
2021;701;2021Q2;94711482,33;81411584,18;38082,0;Seguradora;Grande;Adesao
