trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,39;1,12;490408;3;80,58
2018Q2;1,42;1,24;485005;3;87,32
2018Q3;1,52;1,27;471689;3;83,55
2018Q4;1,5;1,25;479067;3;83,33
2019Q1;1,51;1,28;476261;3;84,77
2019Q2;1,52;1,32;469216;3;86,84
2019Q3;1,63;1,38;455875;3;84,66
2019Q4;1,59;1,36;448182;3;85,53
2020Q1;1,56;1,31;441419;3;83,97
2020Q2;1,55;1,03;440858;3;66,45
2020Q3;1,68;1,29;437495;3;76,79
2020Q4;1,68;1,38;435189;3;82,14
2021Q1;1,63;1,33;420708;3;81,6
2021Q2;1,55;1,39;409548;3;89,68
2021Q3;1,58;1,49;398118;3;94,3
2021Q4;1,49;1,48;393903;3;99,33
