ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;316873;2018Q1;11827044,74;10490789,29;4926;Autogestão;Médio;Adesao
2018;346926;2018Q1;46046223,48;47221487,24;15931;Autogestão;Médio;Adesao
2018;346926;2018Q4;54635383,12;50871681,1;16454;Autogestão;Médio;Adesao
2018;361011;2018Q1;13305607,97;9476403,25;6918;Autogestão;Médio;Adesao
2018;361011;2018Q2;13607415,61;9560085,88;7024;Autogestão;Médio;Adesao
2018;361011;2018Q3;15184174,76;11825670,08;8102;Autogestão;Médio;Adesao
2018;361011;2018Q4;17270381,81;9573281,2;8299;Autogestão;Médio;Adesao
2018;409243;2018Q1;22158421,81;21419114,85;23503;Autogestão;Médio;Adesao
2018;409243;2018Q3;25944481,33;19368384,13;23918;Autogestão;Médio;Adesao
2018;409243;2018Q4;27824611,86;18987604,51;23513;Autogestão;Médio;Adesao
2018;419427;2018Q2;3595620,9;1592842,66;10498;Autogestão;Médio;Adesao
2018;346926;2018Q3;54388479,62;49445575,59;16823;Autogestão;Médio;Adesao
2018;419427;2018Q4;4171781,62;2068059,91;11181;Autogestão;Médio;Adesao
2018;317233;2018Q1;32724939,32544691;30856916,78070488;16487;Autogestão;Médio;Adesao
2018;317233;2018Q2;33562352,26132244;33072716,078005314;16267;Autogestão;Médio;Adesao
2018;317233;2018Q3;34425247,08826313;33828103,25620095;15940;Autogestão;Médio;Adesao
2018;317233;2018Q4;37068815,19496753;33843465,28508886;15522;Autogestão;Médio;Adesao
2018;420077;2018Q1;737004,0183761864;27385,336324495198;298;Autogestão;Médio;Adesao
2018;420077;2018Q2;755863,5399368742;29351,84546782272;290;Autogestão;Médio;Adesao
2018;420077;2018Q3;775296,943573372;30022,247247660758;280;Autogestão;Médio;Adesao
2018;420077;2018Q4;834833,1981135678;30035,880960021324;272;Autogestão;Médio;Adesao
2018;419427;2018Q3;3877815,24;1880874,03;10875;Autogestão;Médio;Adesao
2018;346926;2018Q2;43847993,88;48397164,34;16945;Autogestão;Médio;Adesao
2018;330809;2018Q3;14254284,42;15960201,33;20506;Autogestão;Médio;Adesao
2018;419427;2018Q1;3299695,38;1197643,51;10048;Autogestão;Médio;Adesao
2018;342611;2018Q3;20616366,17;31679915,57;14703;Autogestão;Médio;Adesao
2018;409243;2018Q2;24061562,67;26040111,13;23841;Autogestão;Médio;Adesao
2018;342611;2018Q4;24734605,93;26627684,02;14573;Autogestão;Médio;Adesao
2018;316873;2018Q4;12474201,84;10735487,85;4636;Autogestão;Médio;Adesao
2018;324493;2018Q1;22014073,16;17693252,03;16526;Autogestão;Médio;Adesao
2018;324493;2018Q2;22054595,68;19758804,26;16554;Autogestão;Médio;Adesao
2018;324493;2018Q3;23030581,96;19200828,74;16642;Autogestão;Médio;Adesao
