trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;296,71;279,13;173198;12;94,08
2018Q2;303,0;296,74;173876;12;97,93
2018Q3;319,21;295,3;174121;12;92,51
2018Q4;336,88;280,32;172914;12;83,21
2019Q1;358,81;300,49;169632;12;83,75
2019Q2;360,86;327,13;165881;12;90,65
2019Q3;376,51;338,45;163568;12;89,89
2019Q4;383,73;321,78;162003;12;83,86
2020Q1;365,39;311,17;160396;12;85,16
2020Q2;362,71;251,61;156540;12;69,37
2020Q3;362,09;260,84;155993;12;72,04
2020Q4;365,53;285,01;158049;12;77,97
2021Q1;391,93;299,58;158270;12;76,44
2021Q2;394,23;333,7;155794;12;84,65
2021Q3;400,94;354,69;152354;12;88,46
2021Q4;339,29;360,18;151246;12;106,16
