trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;560,04;436,2;594552,0;95;77,89
2018Q2;581,45;480,73;607081,0;95;82,68
2018Q3;604,07;508,23;612546,0;95;84,13
2018Q4;654,64;419,12;610208,0;95;64,02
2019Q1;655,97;491,88;653662,0;100;74,99
2019Q2;668,48;565,33;648265,0;100;84,57
2019Q3;688,43;606,9;643660,0;100;88,16
2019Q4;690,29;611,12;636258,0;100;88,53
2020Q1;706,39;560,41;641658,0;101;79,33
2020Q2;721,34;468,59;662987,0;101;64,96
2020Q3;736,85;532,81;663891,0;101;72,31
2020Q4;728,81;602,55;666970,0;101;82,68
2021Q1;786,22;617,26;669215,0;105;78,51
2021Q2;799,4;708,94;663265,0;105;88,68
2021Q3;810,5;748,84;656991,0;105;92,39
2021Q4;846,9;781,52;652686,0;105;92,28
