trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;10,95;7,86;10739;8;71,78
2018Q2;11,01;8,66;10949;8;78,66
2018Q3;11,25;8,12;11081;8;72,18
2018Q4;11,58;8,44;11330;8;72,88
2019Q1;11,1;7,67;10520;7;69,1
2019Q2;11,41;7,55;10703;7;66,17
2019Q3;11,83;9,67;10866;7;81,74
2019Q4;12,19;8,72;11820;7;71,53
2020Q1;12,93;8,84;12875;8;68,37
2020Q2;13,38;6,38;13220;8;47,68
2020Q3;13,64;9,22;13987;8;67,6
2020Q4;14,03;10,42;14575;8;74,27
2021Q1;14,44;10,87;15035;8;75,28
2021Q2;15,06;12,94;15692;8;85,92
2021Q3;15,61;13,28;15912;8;85,07
2021Q4;16,28;11,65;16174;8;71,56
