trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;237,06;196,66;168871;41;82,96
2018Q2;243,79;220,27;167949;41;90,35
2018Q3;250,72;212,43;167364;41;84,73
2018Q4;251,33;210,4;166344;41;83,71
2019Q1;304,71;247,89;187751;45;81,35
2019Q2;309,38;283,32;185974;45;91,58
2019Q3;315,42;291,92;185231;45;92,55
2019Q4;323,09;298,31;184133;45;92,33
2020Q1;324,91;272,65;182569;44;83,92
2020Q2;327,37;210,25;181456;44;64,22
2020Q3;312,71;242,79;180583;44;77,64
2020Q4;305,12;276,26;179756;44;90,54
2021Q1;322,84;280,26;180512;46;86,81
2021Q2;335,17;304,32;179779;46;90,8
2021Q3;345,46;323,73;178839;46;93,71
2021Q4;353,49;326,64;177028;46;92,4
