ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;302627;2018Q1;2236067,31;939777,91;2084;Autogestão;Pequeno;Adesao
2018;302627;2018Q2;2290202,52;853810,25;2155;Autogestão;Pequeno;Adesao
2018;302627;2018Q3;2668132,07;1321714,92;2194;Autogestão;Pequeno;Adesao
2018;302627;2018Q4;2662081,83;1054471,17;2226;Autogestão;Pequeno;Adesao
2018;317632;2018Q1;56785718,45;51636466,63;19949;Autogestão;Pequeno;Adesao
2018;317632;2018Q2;57860955,46;54679484,16;20015;Autogestão;Pequeno;Adesao
2018;317632;2018Q3;60924187,74;57674971,92;20049;Autogestão;Pequeno;Adesao
2018;317632;2018Q4;61789326,03;54943235,21;20064;Autogestão;Pequeno;Adesao
2018;329665;2018Q1;1010961,14;1368994,68;854;Autogestão;Pequeno;Adesao
2018;329665;2018Q2;1029655,26;2513047,38;850;Autogestão;Pequeno;Adesao
2018;329665;2018Q3;1204915,65;1321429,48;840;Autogestão;Pequeno;Adesao
2018;329665;2018Q4;1264604,92;1293765,09;814;Autogestão;Pequeno;Adesao
2018;330281;2018Q1;8307578,93;5922234,92;4073;Autogestão;Pequeno;Adesao
2018;330281;2018Q2;8611022,43;7387208,94;4049;Autogestão;Pequeno;Adesao
2018;330281;2018Q3;8722424,29;7144767,01;4012;Autogestão;Pequeno;Adesao
2018;330281;2018Q4;8841430,79;7137936,18;3973;Autogestão;Pequeno;Adesao
2018;335754;2018Q1;13663654,24;12333152,36;6246;Autogestão;Pequeno;Adesao
2018;335754;2018Q2;15413057,4;14644598,18;6254;Autogestão;Pequeno;Adesao
2018;335754;2018Q3;15636338,84;14291950,4;6262;Autogestão;Pequeno;Adesao
2018;335754;2018Q4;15633847,07;15622319,0;6272;Autogestão;Pequeno;Adesao
2018;335789;2018Q1;3761101,64;2961210,46;5504;Autogestão;Pequeno;Adesao
2018;335789;2018Q2;3725303,18;3934535,56;5481;Autogestão;Pequeno;Adesao
2018;335789;2018Q3;3584171,8;3719279,51;5494;Autogestão;Pequeno;Adesao
2018;335789;2018Q4;4030220,85;3750503,02;5482;Autogestão;Pequeno;Adesao
