trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;202,28;139,14;175580,0;93;68,79
2018Q2;209,65;144,8;174335,0;93;69,07
2018Q3;208,41;144,87;171939,0;93;69,51
2018Q4;217,18;122,68;167446,0;93;56,49
2019Q1;191,66;121,33;173172,0;96;63,3
2019Q2;186,65;146,23;180582,0;96;78,34
2019Q3;183,93;155,29;190092,0;96;84,43
2019Q4;205,44;158,09;194681,0;96;76,95
2020Q1;192,1;131,21;188904,0;97;68,3
2020Q2;193,79;104,86;166034,0;97;54,11
2020Q3;180,57;117,15;155809,0;97;64,88
2020Q4;174,56;145,13;154177,0;97;83,14
2021Q1;162,98;131,03;149201,0;97;80,4
2021Q2;163,89;146,76;148559,0;97;89,55
2021Q3;167,23;148,59;146225,0;97;88,85
2021Q4;171,33;149,28;145771,0;97;87,13
