ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314706;2018Q1;24428,56;195,14;44,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q2;24964,79;0,0;43,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q3;24627,8;0,0;39,0;Filantropia;Pequeno;Adesao
2018;314706;2018Q4;25077,14;0,0;40,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q1;284451,25;147702,67;1392,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q2;293643,97;139240,83;1388,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q3;307584,78;203416,12;1350,0;Filantropia;Pequeno;Adesao
2018;319422;2018Q4;307687,56;195688,26;1339,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q1;1363648,63;759734,54;2685,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q2;1415366,57;978208,53;2710,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q3;1494652,09;917810,39;2706,0;Filantropia;Pequeno;Adesao
2018;321320;2018Q4;1648827,13;934799,99;2705,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q1;367809,66;176279,35;573,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q2;479230,29;246315,48;782,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q3;545108,74;262226,98;797,0;Filantropia;Pequeno;Adesao
2018;323942;2018Q4;508904,27;285821,24;816,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q1;79522,92;32189,66;644,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q2;79658,03;39366,89;696,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q3;76151,38;28979,18;726,0;Filantropia;Pequeno;Adesao
2018;330116;2018Q4;76792,84;33763,9;768,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q1;2173110,92;1557881,58;2584,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q2;2053158,92;2036615,27;2521,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q3;1967290,66;1669414,06;2505,0;Filantropia;Pequeno;Adesao
2018;333808;2018Q4;2316017,18;1796173,99;2765,0;Filantropia;Pequeno;Adesao
2018;333875;2018Q1;122560,11;40435,74;121,0;Filantropia;Pequeno;Adesao
2018;333875;2018Q2;127682,62;43034,6;125,0;Filantropia;Pequeno;Adesao
2018;333875;2018Q3;129604,48;105120,01;120,0;Filantropia;Pequeno;Adesao
2018;333875;2018Q4;135077,36;89580,2;129,0;Filantropia;Pequeno;Adesao
2018;345741;2018Q1;162198,06;24478,72;45,0;Filantropia;Pequeno;Adesao
