trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;5,28;3,31;9430,0;11;62,69
2018Q2;5,25;4,2;9589,0;11;80,0
2018Q3;5,3;4,16;9382,0;11;78,49
2018Q4;6,0;4,2;9355,0;11;70,0
2019Q1;6,84;4,71;9493,0;11;68,86
2019Q2;7,14;5,44;9476,0;11;76,19
2019Q3;7,0;5,05;9564,0;11;72,14
2019Q4;7,49;5,29;9579,0;11;70,63
2020Q1;7,45;5,31;9681,0;12;71,28
2020Q2;7,61;3,83;9567,0;12;50,33
2020Q3;7,42;4,51;9480,0;12;60,78
2020Q4;7,47;5,49;9516,0;12;73,49
2021Q1;7,76;6,21;9473,0;12;80,03
2021Q2;8,08;6,83;9387,0;12;84,53
2021Q3;8,6;7,07;9322,0;12;82,21
2021Q4;8,6;6,56;9159,0;12;76,28
