ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;305626;2018Q1;2798979,53;2505358,24;369,0;Medicina de Grupo;Pequeno;Adesao
2018;305626;2018Q2;3106408,76;2651226,55;401,0;Medicina de Grupo;Pequeno;Adesao
2018;305626;2018Q3;3104000,23;2966383,34;430,0;Medicina de Grupo;Pequeno;Adesao
2018;305626;2018Q4;3269857,8;2691832,0;448,0;Medicina de Grupo;Pequeno;Adesao
2018;305928;2018Q1;266627,85;114520,04;240,0;Medicina de Grupo;Pequeno;Adesao
2018;305928;2018Q2;267325,59;447004,37;238,0;Medicina de Grupo;Pequeno;Adesao
2018;305928;2018Q3;260043,1;256976,27;231,0;Medicina de Grupo;Pequeno;Adesao
2018;305928;2018Q4;267956,25;233716,09;228,0;Medicina de Grupo;Pequeno;Adesao
2018;311472;2018Q1;402323,04;459632,64;856,0;Medicina de Grupo;Pequeno;Adesao
2018;311472;2018Q2;441474,57;335609,62;882,0;Medicina de Grupo;Pequeno;Adesao
2018;311472;2018Q3;375311,59;255255,13;885,0;Medicina de Grupo;Pequeno;Adesao
2018;311472;2018Q4;421797,3;342306,6;882,0;Medicina de Grupo;Pequeno;Adesao
2018;312282;2018Q1;327247,73;140159,09;194,0;Medicina de Grupo;Pequeno;Adesao
2018;312282;2018Q2;337280,79;234183,89;194,0;Medicina de Grupo;Pequeno;Adesao
2018;312282;2018Q3;356758,33;129160,42;193,0;Medicina de Grupo;Pequeno;Adesao
2018;312282;2018Q4;354808,51;203392,3;194,0;Medicina de Grupo;Pequeno;Adesao
2018;319180;2018Q1;3295896,3;4066341,92;6617,0;Medicina de Grupo;Pequeno;Adesao
2018;319180;2018Q2;3268438,17;5262390,28;6632,0;Medicina de Grupo;Pequeno;Adesao
2018;319180;2018Q3;3268616,06;3308733,45;6674,0;Medicina de Grupo;Pequeno;Adesao
2018;319180;2018Q4;1269232,81;2329585,45;152,0;Medicina de Grupo;Pequeno;Adesao
2018;324299;2018Q1;371193,64;172312,9;493,0;Medicina de Grupo;Pequeno;Adesao
2018;324299;2018Q2;427036,71;18345,57;485,0;Medicina de Grupo;Pequeno;Adesao
2018;324299;2018Q3;391829,98;12390,31;472,0;Medicina de Grupo;Pequeno;Adesao
2018;324299;2018Q4;470556,8;1359,14;469,0;Medicina de Grupo;Pequeno;Adesao
2018;324361;2018Q1;52410261,22;33279514,05;16477,0;Medicina de Grupo;Pequeno;Adesao
2018;324361;2018Q2;51851675,58;35358645,14;16049,0;Medicina de Grupo;Pequeno;Adesao
2018;324361;2018Q3;58234090,31;38181686,81;15947,0;Medicina de Grupo;Pequeno;Adesao
2018;324361;2018Q4;57489283,59;39857737,77;15733,0;Medicina de Grupo;Pequeno;Adesao
2018;325465;2018Q1;212754,09;235272,24;386,0;Medicina de Grupo;Pequeno;Adesao
2018;325465;2018Q2;317249,12;299591,09;554,0;Medicina de Grupo;Pequeno;Adesao
2018;325465;2018Q3;444214,05;405160,76;696,0;Medicina de Grupo;Pequeno;Adesao
2018;325465;2018Q4;572190,55;548545,33;782,0;Medicina de Grupo;Pequeno;Adesao
2018;330892;2018Q1;118708,79;227018,29;5134,0;Medicina de Grupo;Pequeno;Adesao
2018;330892;2018Q2;122736,93;313665,64;5048,0;Medicina de Grupo;Pequeno;Adesao
2018;330892;2018Q3;124541,19;268938,93;4982,0;Medicina de Grupo;Pequeno;Adesao
2018;330892;2018Q4;122501,01;234999,64;4904,0;Medicina de Grupo;Pequeno;Adesao
2018;333867;2018Q1;634149,1;447224,82;980,0;Medicina de Grupo;Pequeno;Adesao
2018;333867;2018Q2;632396,1;568920,96;972,0;Medicina de Grupo;Pequeno;Adesao
2018;333867;2018Q3;629301,09;610912,05;954,0;Medicina de Grupo;Pequeno;Adesao
2018;333867;2018Q4;723992,57;743347,58;961,0;Medicina de Grupo;Pequeno;Adesao
2018;341941;2018Q1;142220,43;59364,26;3168,0;Medicina de Grupo;Pequeno;Adesao
2018;341941;2018Q2;143485,02;57850,33;3118,0;Medicina de Grupo;Pequeno;Adesao
2018;341941;2018Q3;145683,33;50306,6;3090,0;Medicina de Grupo;Pequeno;Adesao
2018;341941;2018Q4;147681,83;118684,43;3040,0;Medicina de Grupo;Pequeno;Adesao
2018;350362;2018Q1;530345,37;0,0;1676,0;Medicina de Grupo;Pequeno;Adesao
2018;350362;2018Q2;518750,21;0,0;1631,0;Medicina de Grupo;Pequeno;Adesao
2018;350362;2018Q3;663072,48;0,0;1600,0;Medicina de Grupo;Pequeno;Adesao
2018;350362;2018Q4;413070,8;0,0;2117,0;Medicina de Grupo;Pequeno;Adesao
2018;350699;2018Q1;5276097,0;9755,91;6002,0;Medicina de Grupo;Pequeno;Adesao
2018;350699;2018Q2;5364108,48;9992,07;5999,0;Medicina de Grupo;Pequeno;Adesao
2018;350699;2018Q3;5459455,06;22221,75;5946,0;Medicina de Grupo;Pequeno;Adesao
2018;350699;2018Q4;6391227,37;10109,27;5924,0;Medicina de Grupo;Pequeno;Adesao
2018;350729;2018Q1;742520,74;645976,58;1207,0;Medicina de Grupo;Pequeno;Adesao
2018;350729;2018Q2;746805,09;724797,34;1182,0;Medicina de Grupo;Pequeno;Adesao
2018;350729;2018Q3;793560,63;494152,71;1174,0;Medicina de Grupo;Pequeno;Adesao
2018;350729;2018Q4;857238,26;566170,74;1316,0;Medicina de Grupo;Pequeno;Adesao
2018;351270;2018Q1;1217929,98;702850,87;1907,0;Medicina de Grupo;Pequeno;Adesao
2018;351270;2018Q2;1223626,11;881578,59;1926,0;Medicina de Grupo;Pequeno;Adesao
2018;351270;2018Q3;1286304,3;924091,76;1962,0;Medicina de Grupo;Pequeno;Adesao
2018;351270;2018Q4;1338677,14;928339,31;1962,0;Medicina de Grupo;Pequeno;Adesao
2018;358509;2018Q1;5334,8;3110,88;14,0;Medicina de Grupo;Pequeno;Adesao
2018;358509;2018Q2;5837,25;3228,67;14,0;Medicina de Grupo;Pequeno;Adesao
2018;358509;2018Q3;11047,19;2750,72;26,0;Medicina de Grupo;Pequeno;Adesao
2018;358509;2018Q4;230973,82;3026,16;339,0;Medicina de Grupo;Pequeno;Adesao
2018;360783;2018Q1;1629455,81;1600699,86;1074,0;Medicina de Grupo;Pequeno;Adesao
2018;360783;2018Q2;1800116,44;1666574,31;1074,0;Medicina de Grupo;Pequeno;Adesao
2018;360783;2018Q3;1799441,7;1262627,85;1069,0;Medicina de Grupo;Pequeno;Adesao
2018;360783;2018Q4;1796949,61;1597882,09;1073,0;Medicina de Grupo;Pequeno;Adesao
2018;363189;2018Q1;6329,33;82769,42;54,0;Medicina de Grupo;Pequeno;Adesao
2018;363189;2018Q2;6441,85;89654,77;53,0;Medicina de Grupo;Pequeno;Adesao
2018;363189;2018Q3;6489,71;72706,21;53,0;Medicina de Grupo;Pequeno;Adesao
2018;363189;2018Q4;6713,62;71943,22;51,0;Medicina de Grupo;Pequeno;Adesao
2018;382281;2018Q1;122752,88;1137,8;176,0;Medicina de Grupo;Pequeno;Adesao
2018;382281;2018Q2;129084,09;857,0;199,0;Medicina de Grupo;Pequeno;Adesao
2018;382281;2018Q3;108448,28;2075,93;228,0;Medicina de Grupo;Pequeno;Adesao
2018;382281;2018Q4;162941,52;247075,81;250,0;Medicina de Grupo;Pequeno;Adesao
2018;401480;2018Q1;578379,48;417421,98;1423,0;Medicina de Grupo;Pequeno;Adesao
2018;401480;2018Q2;571345,56;404741,94;1475,0;Medicina de Grupo;Pequeno;Adesao
2018;401480;2018Q3;572233,1;425237,11;1456,0;Medicina de Grupo;Pequeno;Adesao
2018;401480;2018Q4;774207,15;425832,65;4576,0;Medicina de Grupo;Pequeno;Adesao
2018;402001;2018Q1;1823034,46;0,0;1437,0;Medicina de Grupo;Pequeno;Adesao
2018;402001;2018Q2;1937469,87;2712784,48;1406,0;Medicina de Grupo;Pequeno;Adesao
2018;402001;2018Q3;1918001,65;1533608,65;1386,0;Medicina de Grupo;Pequeno;Adesao
2018;402001;2018Q4;1896186,97;1319197,56;1358,0;Medicina de Grupo;Pequeno;Adesao
2018;406708;2018Q1;1355797,35;1136240,31;1686,0;Medicina de Grupo;Pequeno;Adesao
2018;406708;2018Q2;1359415,53;1187586,71;1738,0;Medicina de Grupo;Pequeno;Adesao
2018;406708;2018Q3;1416418,93;1514304,19;1753,0;Medicina de Grupo;Pequeno;Adesao
2018;406708;2018Q4;1551497,84;1366799,83;1759,0;Medicina de Grupo;Pequeno;Adesao
2018;406805;2018Q1;1716972,86;1399491,82;1437,0;Medicina de Grupo;Pequeno;Adesao
2018;406805;2018Q2;1826298,35;1428622,74;1437,0;Medicina de Grupo;Pequeno;Adesao
2018;406805;2018Q3;1815474,8;1673049,89;1419,0;Medicina de Grupo;Pequeno;Adesao
2018;406805;2018Q4;1807506,3;1711087,75;1419,0;Medicina de Grupo;Pequeno;Adesao
2018;407534;2018Q1;516600,85;244652,16;3145,0;Medicina de Grupo;Pequeno;Adesao
2018;407534;2018Q2;55901,54;48471,01;3111,0;Medicina de Grupo;Pequeno;Adesao
2018;407534;2018Q3;10638,36;73240,78;3188,0;Medicina de Grupo;Pequeno;Adesao
2018;407534;2018Q4;119605,63;58196,44;3392,0;Medicina de Grupo;Pequeno;Adesao
2018;409286;2018Q1;382374,57;0,0;493,0;Medicina de Grupo;Pequeno;Adesao
2018;409286;2018Q2;391041,75;0,0;479,0;Medicina de Grupo;Pequeno;Adesao
2018;409286;2018Q3;379223,13;0,0;470,0;Medicina de Grupo;Pequeno;Adesao
2018;409286;2018Q4;415721,31;0,0;467,0;Medicina de Grupo;Pequeno;Adesao
2018;410888;2018Q1;77161,15;54174,19;95,0;Medicina de Grupo;Pequeno;Adesao
2018;410888;2018Q2;76339,73;31057,21;87,0;Medicina de Grupo;Pequeno;Adesao
2018;410888;2018Q3;72840,83;25839,29;84,0;Medicina de Grupo;Pequeno;Adesao
2018;410888;2018Q4;78949,19;22668,64;97,0;Medicina de Grupo;Pequeno;Adesao
2018;412058;2018Q1;2465489,74;1825191,32;800,0;Medicina de Grupo;Pequeno;Adesao
2018;412058;2018Q2;2682731,75;1696649,98;791,0;Medicina de Grupo;Pequeno;Adesao
2018;412058;2018Q3;2688587,41;1916216,49;778,0;Medicina de Grupo;Pequeno;Adesao
2018;412058;2018Q4;2585864,05;2049652,86;761,0;Medicina de Grupo;Pequeno;Adesao
2018;413721;2018Q1;3962828,61;2839443,43;6230,0;Medicina de Grupo;Pequeno;Adesao
2018;413721;2018Q2;4092672,04;2937705,63;4995,0;Medicina de Grupo;Pequeno;Adesao
