trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;158,75;105,79;153785,0;61;66,64
2018Q2;160,98;114,95;157865,0;61;71,41
2018Q3;167,98;115,81;161142,0;61;68,94
2018Q4;170,45;116,27;160352,0;61;68,21
2019Q1;177,43;118,84;159234,0;61;66,98
2019Q2;175,94;123,99;166958,0;61;70,47
2019Q3;185,66;134,46;173765,0;61;72,42
2019Q4;189,09;133,73;184135,0;61;70,72
2020Q1;203,4;128,71;184562,0;66;63,28
2020Q2;199,64;108,73;186345,0;66;54,46
2020Q3;204,98;112,51;192768,0;66;54,89
2020Q4;211,22;130,61;196781,0;66;61,84
2021Q1;195,31;131,24;199626,0;69;67,2
2021Q2;199,7;146,76;202920,0;69;73,49
2021Q3;197,15;147,88;195715,0;69;75,01
2021Q4;206,08;144,84;132819,0;69;70,28
