trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;551566,15;633046,95;373;1;114,77
2018Q2;517950,53;496626,33;298;1;95,88
2018Q3;460732,53;278622,31;259;1;60,47
2018Q4;432837,9;291262,69;246;1;67,29
2019Q2;427627,56;304974,05;7;1;71,32
2019Q3;19731,01;29370,27;7;1;148,85
2019Q4;28385,75;21568,53;6;1;75,98
2020Q1;146125,75;39711,75;5;1;27,18
2020Q2;81314,12;14805,65;5;1;18,21
2020Q3;20810,1;2164,99;5;1;10,4
2020Q4;20810,1;191387,12;5;1;919,68
2021Q1;29634,21;2447,85;3;1;8,26
2021Q2;14596,84;1840,81;1;1;12,61
2021Q3;8648,28;1426,69;1;1;16,5
2021Q4;6486,21;2311,1;1;1;35,63
