contratacao;port_ops;modalidade;n_ops_2018;n_ops_2019;n_ops_2020;n_ops_2021;benef_2018;benef_2019;benef_2020;benef_2021;receita_2018;receita_2019;receita_2020;receita_2021;despesa_2018;despesa_2019;despesa_2020;despesa_2021
Adesao;Grande;Cooperativa Médica;39,0;39,0;39,0;39,0;6593603,0;6743392,0;7407379,0;7225157,0;9406,14;10037,98;11358,05;12710,67;6323,09;7884,7;8464,2;10433,56
Adesao;Grande;Filantropia;2,0;2,0;2,0;2,0;93903,0;84816,0;73888,0;64711,0;60,8;62,15;60,23;56,8;44,5;47,45;39,12;43,78
Adesao;Grande;Medicina de Grupo;20,0;23,0;25,0;26,0;2969379,0;3202385,0;3620558,0;3974108,0;3111,05;3499,02;3457,63;4110,33;5034,79;3062,65;2083,8;3186,07
Adesao;Grande;Seguradora;3,0;3,0;3,0;3,0;1926169,0;1849534,0;1754961,0;1622277,0;5829,4;6247,22;6478,14;6237,29;4881,05;5331,52;5001,75;5686,99
Adesao;Médio;Autogestão;12,0;12,0;12,0;12,0;693129,0;660690,0;618394,0;617648,0;1255,8;1480,75;1455,71;1526,4;1151,48;1287,85;1109,32;1348,15
Adesao;Médio;Cooperativa Médica;99,0;103,0;104,0;107,0;2451326,0;2592070,0;2576775,0;2635091,0;2400,2;2703,16;2893,39;3243,03;1848,39;2289,82;2168,69;2859,32
Adesao;Médio;Filantropia;9,0;8,0;8,0;8,0;43991,0;47181,0;54657,0;60155,0;44,78;46,53;53,98;61,39;33,93;35,74;34,86;48,74
Adesao;Médio;Medicina de Grupo;46,0;47,0;52,0;58,0;1231666,0;1278818,0;1316649,0;1500857,0;953,6;1146,78;1090,67;1226,73;748,73;834,71;826,17;1006,7
Adesao;Pequeno;Autogestão;42,0;47,0;46,0;48,0;651906,0;741854,0;720428,0;708341,0;995,75;1252,6;1270,11;1356,95;839,77;1121,49;1003,31;1235,02
Adesao;Pequeno;Cooperativa Médica;93,0;96,0;98,0;98,0;667964,0;734666,0;665399,0;592170,0;837,52;767,68;741,45;666,03;551,48;581,88;498,35;575,85
Adesao;Pequeno;Filantropia;11,0;11,0;12,0;12,0;37756,0;38112,0;38244,0;37341,0;21,82;28,47;29,94;33,05;15,87;20,49;19,16;26,66
Adesao;Pequeno;Medicina de Grupo;64,0;68,0;73,0;77,0;621356,0;711300,0;783479,0;713708,0;661,47;733,48;824,38;801,67;454,23;520,69;481,33;585,3
Adesao;Pequeno;Seguradora;1,0;1,0;1,0;1,0;1176,0;20,0;20,0;6,0;1,96;0,48;0,27;0,06;1,7;0,36;0,25;0,01
Empresarial;Grande;Autogestão;5,0;6,0;6,0;6,0;3975190,0;5618770,0;5285259,0;4882950,0;5058,88;10369,38;10759,7;11146,31;4768,9;9075,62;8346,53;9324,0
Empresarial;Grande;Cooperativa Médica;39,0;39,0;39,0;39,0;25096824,0;25153927,0;26086452,0;26811525,0;23934,96;21799,88;22833,69;25154,11;18931,15;18042,52;17262,02;20839,37
Empresarial;Grande;Filantropia;2,0;2,0;2,0;2,0;551615,0;582891,0;610792,0;665882,0;362,24;408,02;439,93;485,79;279,39;312,44;315,67;417,15
Empresarial;Grande;Medicina de Grupo;31,0;31,0;32,0;32,0;35290755,0;36461457,0;38498817,0;42588082,0;29586,7;32484,18;34281,08;38250,58;23162,74;25801,83;25941,41;32921,92
Empresarial;Grande;Seguradora;5,0;5,0;5,0;5,0;18991996,0;19519306,0;20039540,0;20946748,0;31427,79;34996,12;37617,74;41113,21;25272,57;28336,43;28044,19;35462,55
Empresarial;Médio;Autogestão;23,0;25,0;26,0;26,0;2767656,0;3046956,0;3094480,0;3149028,0;3468,46;4502,65;4816,28;5091,94;2913,87;3513,97;3291,42;4204,41
Empresarial;Médio;Cooperativa Médica;113,0;113,0;113,0;113,0;10730764,0;10881988,0;11073854,0;11733853,0;7652,8;7448,52;8101,55;9240,4;5681,31;6128,72;5870,35;7303,19
Empresarial;Médio;Filantropia;10,0;10,0;10,0;10,0;915037,0;937785,0;962282,0;963663,0;360,15;395,77;458,41;506,54;295,91;327,76;312,0;408,75
Empresarial;Médio;Medicina de Grupo;55,0;58,0;59,0;61,0;5163845,0;5314760,0;5258806,0;5657656,0;2801,26;3061,76;3202,69;3506,45;2185,45;2409,97;2354,43;2758,85
Empresarial;Médio;Seguradora;1,0;1,0;1,0;1,0;156295,0;115234,0;130525,0;139322,0;393,04;333,92;373,8;427,12;342,8;272,97;257,64;388,67
Empresarial;Pequeno;Autogestão;20,0;21,0;22,0;23,0;569471,0;645482,0;651919,0;655714,0;776,8;1046,2;1171,97;1299,05;556,85;881,31;858,5;1103,68
Empresarial;Pequeno;Cooperativa Médica;116,0;116,0;116,0;116,0;2488291,0;2472849,0;2487567,0;2555636,0;1961,23;1606,51;1780,5;1928,53;1537,34;1449,11;1258,04;1484,52
Empresarial;Pequeno;Filantropia;17,0;18,0;18,0;19,0;307148,0;322461,0;332249,0;330562,0;164,05;181,16;199,97;210,42;123,25;142,79;136,07;158,1
Empresarial;Pequeno;Medicina de Grupo;97,0;103,0;115,0;117,0;3613737,0;3948779,0;4093866,0;3451019,0;1927,91;1856,44;1966,76;1788,12;1512,8;1583,15;1529,6;1407,33
Empresarial;Pequeno;Seguradora;1,0;1,0;1,0;1,0;97150,0;6859,0;432,0;253,0;186,72;26,64;5,5;0,84;227,96;66,13;7,37;5,64
Individual;Grande;Cooperativa Médica;39,0;39,0;39,0;39,0;8672836,0;8424775,0;8687714,0;8396645,0;12894,95;13773,15;14812,23;15346,38;9200,19;10854,38;10240,36;12133,87
Individual;Grande;Filantropia;2,0;2,0;2,0;2,0;256076,0;295397,0;383001,0;439748,0;282,09;329,64;405,07;502,35;213,8;261,29;291,19;414,99
Individual;Grande;Medicina de Grupo;26,0;27,0;27,0;27,0;9215371,0;9467496,0;10227701,0;10645862,0;11611,34;12777,03;14286,83;15377,33;8378,71;9579,88;8861,73;11113,34
Individual;Grande;Seguradora;4,0;4,0;4,0;4,0;214002,0;193442,0;176993,0;160675,0;1198,45;1270,34;1359,04;1250,98;1097,28;1189,38;1140,1;1266,94
Individual;Médio;Cooperativa Médica;113,0;113,0;113,0;113,0;4779764,0;4701735,0;4739599,0;4753754,0;5518,92;5942,34;6394,72;6779,83;3519,35;4228,09;4002,36;4893,24
Individual;Médio;Filantropia;10,0;10,0;10,0;10,0;547006,0;539109,0;558589,0;525853,0;513,45;578,82;576,94;594,64;346,72;393,24;345,18;419,0
Individual;Médio;Medicina de Grupo;50,0;53,0;56,0;56,0;2978766,0;3142730,0;3319468,0;3463556,0;2659,49;3061,71;3510,06;4111,98;1793,15;2169,97;2253,83;2859,7
Individual;Pequeno;Cooperativa Médica;112,0;111,0;111,0;111,0;1442620,0;1373309,0;1331685,0;1293087,0;1653,78;1706,01;1739,05;1754,12;979,75;1099,29;1028,18;1311,55
Individual;Pequeno;Filantropia;18,0;19,0;19,0;19,0;228002,0;226924,0;227206,0;227146,0;182,18;217,59;228,3;241,66;98,56;126,77;121,48;162,77
Individual;Pequeno;Medicina de Grupo;93,0;98,0;105,0;112,0;1612680,0;1697666,0;1750794,0;1683875,0;1348,21;1501,78;1648,27;1740,65;930,15;1050,03;914,38;1008,41
Individual;Pequeno;Seguradora;1,0;1,0;1,0;1,0;303,0;281,0;265,0;251,0;1,76;1,86;1,88;1,97;3,38;2,35;27,73;29,52
