ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;307319;2018Q1;0,0;13082477,52;18557,0;Autogestão;Médio;Empresarial
2018;307319;2018Q2;0,0;14479824,18;18542,0;Autogestão;Médio;Empresarial
2018;307319;2018Q3;0,0;14176016,09;18505,0;Autogestão;Médio;Empresarial
2018;307319;2018Q4;0,0;15194447,15;18552,0;Autogestão;Médio;Empresarial
2019;307319;2019Q1;0,0;14198309,03;18499,0;Autogestão;Médio;Empresarial
2019;307319;2019Q2;0,0;16991057,8;18594,0;Autogestão;Médio;Empresarial
2019;307319;2019Q3;62241351,28;16571533,66;18654,0;Autogestão;Médio;Empresarial
2019;307319;2019Q4;21373182,55;16770580,1;18601,0;Autogestão;Médio;Empresarial
2020;307319;2020Q1;22644842,3;14826362,2;18480,0;Autogestão;Médio;Empresarial
2020;307319;2020Q2;22863216,59;13707132,78;18420,0;Autogestão;Médio;Empresarial
2020;307319;2020Q3;23096693,01;20709283,13;18208,0;Autogestão;Médio;Empresarial
2020;307319;2020Q4;22898559,08;19810774,68;17285,0;Autogestão;Médio;Empresarial
2021;307319;2021Q1;21539336,4;15982276,91;17219,0;Autogestão;Médio;Empresarial
2021;307319;2021Q2;22041718,79;20505954,9;17157,0;Autogestão;Médio;Empresarial
2021;307319;2021Q3;22227316,17;20957772,64;17103,0;Autogestão;Médio;Empresarial
2021;307319;2021Q4;22255753,42;22069882,15;17027,0;Autogestão;Médio;Empresarial
2018;307751;2018Q1;1163852,86;607931,26;1039,0;Autogestão;Pequeno;Empresarial
2018;307751;2018Q2;1229033,53;755791,09;1074,0;Autogestão;Pequeno;Empresarial
2018;307751;2018Q3;1283414,57;1360129,25;1108,0;Autogestão;Pequeno;Empresarial
2018;307751;2018Q4;1351666,17;1163447,51;1168,0;Autogestão;Pequeno;Empresarial
2019;307751;2019Q1;1503242,33;874625,13;1220,0;Autogestão;Pequeno;Empresarial
2019;307751;2019Q2;1658414,68;1008741,57;1261,0;Autogestão;Pequeno;Empresarial
2019;307751;2019Q3;1725152,06;1402236,92;1294,0;Autogestão;Pequeno;Empresarial
2019;307751;2019Q4;1791051,24;1863758,6;1320,0;Autogestão;Pequeno;Empresarial
2020;307751;2020Q1;1844357,67;1874118,99;1340,0;Autogestão;Pequeno;Empresarial
2020;307751;2020Q2;1880016,14;894721,82;1364,0;Autogestão;Pequeno;Empresarial
2020;307751;2020Q3;1913454,0;1119991,07;1384,0;Autogestão;Pequeno;Empresarial
2020;307751;2020Q4;1968037,63;1273499,41;1407,0;Autogestão;Pequeno;Empresarial
2021;307751;2021Q1;1980008,08;1576742,63;1422,0;Autogestão;Pequeno;Empresarial
2021;307751;2021Q2;2022105,63;1876837,41;1463,0;Autogestão;Pequeno;Empresarial
2021;307751;2021Q3;2089811,57;1851342,25;1494,0;Autogestão;Pequeno;Empresarial
2021;307751;2021Q4;2173508,27;2042227,48;1527,0;Autogestão;Pequeno;Empresarial
2018;309362;2018Q1;4503975,05;2860750,64;2367,0;Autogestão;Pequeno;Empresarial
2018;309362;2018Q2;4269962,42;3068196,08;2410,0;Autogestão;Pequeno;Empresarial
2018;309362;2018Q3;4626869,33;3400276,72;2434,0;Autogestão;Pequeno;Empresarial
2018;309362;2018Q4;4856214,28;2990036,42;2421,0;Autogestão;Pequeno;Empresarial
2019;309362;2019Q1;4336709,05;2864416,27;2439,0;Autogestão;Pequeno;Empresarial
2019;309362;2019Q2;4206167,56;3061422,63;2439,0;Autogestão;Pequeno;Empresarial
2019;309362;2019Q3;5268841,02;3842832,34;2424,0;Autogestão;Pequeno;Empresarial
2019;309362;2019Q4;4943247,95;3366194,84;2434,0;Autogestão;Pequeno;Empresarial
