trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,98;1,8;1827032;46;90,91
2018Q2;2,21;2,03;1822647;46;91,86
2018Q3;2,43;2,21;1824071;47;90,95
2018Q4;2,69;2,19;1838567;48;81,41
2019Q1;3,67;3,12;2323550;51;85,01
2019Q2;3,82;3,35;2307432;51;87,7
2019Q3;4,0;3,47;2358732;52;86,75
2019Q4;4,43;3,53;2321494;52;79,68
2020Q1;4,08;3,24;2290455;52;79,41
2020Q2;4,07;2,68;2264423;52;65,85
2020Q3;4,22;3,03;2246274;53;71,8
2020Q4;4,38;3,55;2230506;52;81,05
2021Q1;4,27;3,35;2207553;53;78,45
2021Q2;4,39;3,82;2176550;53;87,02
2021Q3;4,46;3,6;2159368;55;80,72
2021Q4;4,41;3,86;2144221;55;87,53
