ano;cd_ops;trimestre;receita;despesa;benef;modalidade;contratacao
2018;300136;2018Q1;10172297,52470751;7491342,561365565;18700;Cooperativa Médica;Empresarial
2018;300136;2018Q1;10172297,52470751;7491342,561365565;4552;Cooperativa Médica;Empresarial
2018;352861;2018Q2;1497514,928207639;980392,8109675574;3900;Cooperativa Médica;Empresarial
2018;352861;2018Q3;1537659,4301123703;1300395,4022829505;3773;Cooperativa Médica;Empresarial
2018;352861;2018Q4;1512304,7501123704;244387,4022829503;3745;Cooperativa Médica;Empresarial
2018;353027;2018Q1;6709361,350866255;4866685,116966685;11643;Cooperativa Médica;Empresarial
2018;353027;2018Q2;6964959,7063377155;5249178,508823764;11859;Cooperativa Médica;Empresarial
2018;353027;2018Q3;7205108,303685186;5413715,445307141;11848;Cooperativa Médica;Empresarial
2018;353027;2018Q4;7448230,999110841;3417711,0589024094;12380;Cooperativa Médica;Empresarial
2018;353060;2018Q1;16063397,201964177;12284861,651734466;26920;Cooperativa Médica;Empresarial
2018;353060;2018Q2;16721122,151964176;12375218,781734467;27382;Cooperativa Médica;Empresarial
2018;353060;2018Q3;17348425,052390177;11541065,971759945;28023;Cooperativa Médica;Empresarial
2018;353060;2018Q4;18372763,61368147;11454414,134771124;29053;Cooperativa Médica;Empresarial
2018;353353;2018Q1;26617142,762428276;22236596,68488319;25884;Cooperativa Médica;Empresarial
2018;352683;2018Q4;18466169,405304592;4918020,016458359;21464;Cooperativa Médica;Empresarial
2018;352861;2018Q1;1443459,1415676204;911025,414466542;3810;Cooperativa Médica;Empresarial
2018;353353;2018Q2;27582520,812428277;23238076,74488319;26055;Cooperativa Médica;Empresarial
2018;353663;2018Q1;31917219,91515775;24261015,6869315;31607;Cooperativa Médica;Empresarial
2018;353663;2018Q1;31917219,91515775;24261015,6869315;5;Cooperativa Médica;Empresarial
2018;353663;2018Q2;32968011,535157748;27093685,176931497;31912;Cooperativa Médica;Empresarial
2018;353663;2018Q2;32968011,535157748;27093685,176931497;5;Cooperativa Médica;Empresarial
2018;353663;2018Q3;34307922,06327082;28903465,95144004;32777;Cooperativa Médica;Empresarial
2018;353663;2018Q3;34307922,06327082;28903465,95144004;5;Cooperativa Médica;Empresarial
2018;353663;2018Q4;36334411,75641368;28705338,22469697;33555;Cooperativa Médica;Empresarial
2018;353663;2018Q4;36334411,75641368;28705338,22469697;5;Cooperativa Médica;Empresarial
2018;353698;2018Q1;2051352,3056583707;562495,8083787947;2681;Cooperativa Médica;Empresarial
2018;353698;2018Q2;2129242,6488842233;608312,9681089307;2636;Cooperativa Médica;Empresarial
2018;353698;2018Q3;2202424,8751082495;628022,1062557747;2608;Cooperativa Médica;Empresarial
2018;353698;2018Q4;2249473,8503491567;470779,6172564998;2586;Cooperativa Médica;Empresarial
2018;353876;2018Q1;4127236,915208515;3119346,0678621717;10777;Cooperativa Médica;Empresarial
2018;353876;2018Q1;4127236,915208515;3119346,0678621717;2;Cooperativa Médica;Empresarial
2018;353876;2018Q2;4282608,207911917;3368161,2478184206;10827;Cooperativa Médica;Empresarial
2018;353876;2018Q2;4282608,207911917;3368161,2478184206;2;Cooperativa Médica;Empresarial
2018;353876;2018Q3;4288432,028439784;4473136,157159704;10873;Cooperativa Médica;Empresarial
2018;353876;2018Q4;4521337,588439784;1364728,6871597038;10701;Cooperativa Médica;Empresarial
