trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;14,17;10,74;9536677;261;75,79
2018Q2;14,34;11,43;9656945;261;79,71
2018Q3;14,98;12,09;9737031;261;80,71
2018Q4;17,78;13,95;9703270;261;78,46
2019Q1;13,27;10,59;9705986;265;79,8
2019Q2;13,74;11,65;9766476;265;84,79
2019Q3;14,15;11,94;9788601;265;84,38
2019Q4;14,35;12,21;9829481;265;85,09
2020Q1;14,59;11,44;9908616;266;78,41
2020Q2;14,51;9,22;9847101;266;63,54
2020Q3;14,4;10,98;9906510;266;76,25
2020Q4;15,15;12,33;10006519;266;81,39
2021Q1;15,32;12,02;10118535;266;78,46
2021Q2;15,73;13,47;10335971;266;85,63
2021Q3;16,48;13,93;10551790;266;84,53
2021Q4;17,19;13,46;10680562;266;78,3
