ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;306045;2018Q1;1522726,53;813503,08;1665,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q2;1570298,99;1053459,6;1644,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q3;1607607,83;1052819,67;1632,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q4;1633836,26;1028214,44;1616,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q1;1666332,12;1017051,02;1593,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q2;1722497,93;1240753,18;1561,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q3;1782121,59;979742,78;1509,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q4;1771825,05;1279472,75;1464,0;Filantropia;Pequeno;Empresarial
2020;306045;2020Q1;1775941,2;892956,74;1403,0;Filantropia;Pequeno;Empresarial
2020;306045;2020Q2;1810392,0;660095,92;1368,0;Filantropia;Pequeno;Empresarial
2020;306045;2020Q3;1838004,11;824764,91;1345,0;Filantropia;Pequeno;Empresarial
2020;306045;2020Q4;1818489,86;709151,92;1352,0;Filantropia;Pequeno;Empresarial
2021;306045;2021Q1;1843065,85;825784,47;1302,0;Filantropia;Pequeno;Empresarial
2021;306045;2021Q2;1840823,44;720228,32;1274,0;Filantropia;Pequeno;Empresarial
2021;306045;2021Q3;1845744,15;921405,98;1246,0;Filantropia;Pequeno;Empresarial
2021;306045;2021Q4;1845366,87;733043,6;1228,0;Filantropia;Pequeno;Empresarial
2018;314218;2018Q1;27979406,3;18711233,05;39054,0;Filantropia;Grande;Empresarial
2018;314218;2018Q2;28855945,93;22100166,2;38748,0;Filantropia;Grande;Empresarial
2018;314218;2018Q3;30385542,5;21927345,38;38720,0;Filantropia;Grande;Empresarial
2018;314218;2018Q4;31550010,82;19276404,96;37000,0;Filantropia;Grande;Empresarial
2019;314218;2019Q1;31315282,0;18314730,76;35723,0;Filantropia;Grande;Empresarial
2019;314218;2019Q2;31353150,3;20582919,81;35266,0;Filantropia;Grande;Empresarial
2019;314218;2019Q3;32385306,96;20242109,3;35378,0;Filantropia;Grande;Empresarial
2019;314218;2019Q4;33535140,72;19504682,24;36163,0;Filantropia;Grande;Empresarial
2020;314218;2020Q1;34446415,07;20690920,21;37331,0;Filantropia;Grande;Empresarial
2020;314218;2020Q2;35623474,22;16535965,71;38361,0;Filantropia;Grande;Empresarial
2020;314218;2020Q3;37100972,44;22456629,98;40514,0;Filantropia;Grande;Empresarial
2020;314218;2020Q4;39414748,37;28506645,49;42124,0;Filantropia;Grande;Empresarial
2021;314218;2021Q1;40178039,0;28386489,43;42945,0;Filantropia;Grande;Empresarial
2021;314218;2021Q2;40253315,87;31857064,3;43597,0;Filantropia;Grande;Empresarial
2021;314218;2021Q3;40704111,23;31233961,03;43541,0;Filantropia;Grande;Empresarial
2021;314218;2021Q4;41554047,3;33742866,93;43790,0;Filantropia;Grande;Empresarial
2018;314706;2018Q1;735832,76;155257,59;2944,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q2;754053,1;269669,42;2963,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q3;788752,16;286979,54;3033,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q4;845835,92;178577,84;3219,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q1;908614,62;185896,74;3298,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q2;886120,19;349478,44;3233,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q3;960935,46;292887,74;3283,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q4;1004309,06;447043,84;3314,0;Filantropia;Pequeno;Empresarial
2020;314706;2020Q1;1040301,67;546773,25;3361,0;Filantropia;Pequeno;Empresarial
2020;314706;2020Q2;1047851,32;227138,39;3357,0;Filantropia;Pequeno;Empresarial
2020;314706;2020Q3;1075598,87;186123,73;3491,0;Filantropia;Pequeno;Empresarial
2020;314706;2020Q4;1179706,11;347991,53;3512,0;Filantropia;Pequeno;Empresarial
2021;314706;2021Q1;1198148,37;343245,65;3492,0;Filantropia;Pequeno;Empresarial
2021;314706;2021Q2;1189606,23;306522,74;3447,0;Filantropia;Pequeno;Empresarial
2021;314706;2021Q3;1194157,11;358357,12;3464,0;Filantropia;Pequeno;Empresarial
2021;314706;2021Q4;1219236,46;344739,34;3520,0;Filantropia;Pequeno;Empresarial
2018;318299;2018Q1;8749,91;2817,77;82,0;Filantropia;Médio;Empresarial
2018;318299;2018Q2;8796,65;2814,25;77,0;Filantropia;Médio;Empresarial
2018;318299;2018Q3;9711,19;2544,54;94,0;Filantropia;Médio;Empresarial
2018;318299;2018Q4;10615,79;3280,11;94,0;Filantropia;Médio;Empresarial
2019;318299;2019Q1;11025,44;4414,44;90,0;Filantropia;Médio;Empresarial
2019;318299;2019Q2;14422,17;6656,39;91,0;Filantropia;Médio;Empresarial
2019;318299;2019Q3;8147,68;2021,0;83,0;Filantropia;Médio;Empresarial
2019;318299;2019Q4;11177,26;4896,96;82,0;Filantropia;Médio;Empresarial
2020;318299;2020Q1;7905,19;1414,71;80,0;Filantropia;Médio;Empresarial
2020;318299;2020Q2;11278,01;4601,16;75,0;Filantropia;Médio;Empresarial
2020;318299;2020Q3;6421,01;876,17;75,0;Filantropia;Médio;Empresarial
2020;318299;2020Q4;10410,04;3207,31;73,0;Filantropia;Médio;Empresarial
2021;318299;2021Q1;15264,2;8844,39;82,0;Filantropia;Médio;Empresarial
2021;318299;2021Q2;16250,69;10197,65;162,0;Filantropia;Médio;Empresarial
2021;318299;2021Q3;19126,32;15184,16;288,0;Filantropia;Médio;Empresarial
2021;318299;2021Q4;31268,57;26358,8;320,0;Filantropia;Médio;Empresarial
2018;318299;2018Q1;11798266,44;8995762,75;23609,0;Filantropia;Médio;Empresarial
2018;318299;2018Q2;12005287,65;9810050,32;23547,0;Filantropia;Médio;Empresarial
2018;318299;2018Q3;10876173,4;9977958,71;22476,0;Filantropia;Médio;Empresarial
2018;318299;2018Q4;11608310,61;10199294,69;22521,0;Filantropia;Médio;Empresarial
2019;318299;2019Q1;11550711,69;8885424,47;22423,0;Filantropia;Médio;Empresarial
2019;318299;2019Q2;11755898,91;9480365,02;21960,0;Filantropia;Médio;Empresarial
2019;318299;2019Q3;12065441,45;9758161,58;23261,0;Filantropia;Médio;Empresarial
2019;318299;2019Q4;12114870,75;10024211,17;23444,0;Filantropia;Médio;Empresarial
2020;318299;2020Q1;12708414,64;8433652,92;24048,0;Filantropia;Médio;Empresarial
2020;318299;2020Q2;12934598,46;7622189,33;23872,0;Filantropia;Médio;Empresarial
2020;318299;2020Q3;13062945,88;11472569,81;24167,0;Filantropia;Médio;Empresarial
2020;318299;2020Q4;13774959,06;11747618,61;24809,0;Filantropia;Médio;Empresarial
2021;318299;2021Q1;14248966,45;10680393,22;25407,0;Filantropia;Médio;Empresarial
2021;318299;2021Q2;14834625,19;11494463,56;25782,0;Filantropia;Médio;Empresarial
2021;318299;2021Q3;15146356,21;13042309,56;26728,0;Filantropia;Médio;Empresarial
2021;318299;2021Q4;15777247,95;13825587,46;27016,0;Filantropia;Médio;Empresarial
2018;319422;2018Q1;3353520,29;2114716,88;6047,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q2;3337424,24;2223971,15;6130,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q3;3600575,83;2453769,3;6217,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q4;3728337,37;2565189,3;6360,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q1;2799864,53;2565457,12;6376,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q2;3332736,06;2659122,37;6529,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q3;3564063,05;2692106,65;6749,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q4;3754816,35;2665047,54;6765,0;Filantropia;Pequeno;Empresarial
2020;319422;2020Q1;3794573,34;2357872,77;6914,0;Filantropia;Pequeno;Empresarial
2020;319422;2020Q2;3823969,32;1845709,96;6600,0;Filantropia;Pequeno;Empresarial
2020;319422;2020Q3;3820720,26;2921945,53;6676,0;Filantropia;Pequeno;Empresarial
2020;319422;2020Q4;4078994,64;2524723,96;7249,0;Filantropia;Pequeno;Empresarial
2021;319422;2021Q1;4233688,38;3154570,87;7490,0;Filantropia;Pequeno;Empresarial
2021;319422;2021Q2;4420662,81;3281918,52;7842,0;Filantropia;Pequeno;Empresarial
2021;319422;2021Q3;4787536,01;3466667,98;8091,0;Filantropia;Pequeno;Empresarial
2021;319422;2021Q4;4949750,38;3208084,34;7927,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q1;1960257,2;796247,68;2074,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q2;1955831,56;989746,02;2055,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q3;1952727,7;1111445,42;2063,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q4;2127577,71;1118137,38;2067,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q1;1810801,91;1221438,2;2083,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q2;2054293,81;1391515,15;2100,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q3;2046854,41;1282050,19;2117,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q4;2150150,47;1203399,94;2112,0;Filantropia;Pequeno;Empresarial
2020;321320;2020Q1;2032987,0;1185904,88;2242,0;Filantropia;Pequeno;Empresarial
2020;321320;2020Q2;2031445,35;699118,96;2266,0;Filantropia;Pequeno;Empresarial
2020;321320;2020Q3;1983604,06;1111853,06;2250,0;Filantropia;Pequeno;Empresarial
2020;321320;2020Q4;2356008,51;961082,16;2349,0;Filantropia;Pequeno;Empresarial
2021;321320;2021Q1;2185272,92;1303654,0;2315,0;Filantropia;Pequeno;Empresarial
2021;321320;2021Q2;2116345,24;1541661,67;2300,0;Filantropia;Pequeno;Empresarial
2021;321320;2021Q3;2297375,16;1619990,14;2300,0;Filantropia;Pequeno;Empresarial
2021;321320;2021Q4;2230198,34;1942716,96;2314,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q1;801608,46;453919,09;636,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q2;807127,19;548147,33;636,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q3;848353,21;818780,4;638,0;Filantropia;Pequeno;Empresarial
