ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;300012;2018Q1;3664851,61;0,0;7904,0;Medicina de Grupo;Pequeno;Empresarial
2018;300012;2018Q2;3624898,77;0,0;7800,0;Medicina de Grupo;Pequeno;Empresarial
2018;300012;2018Q3;3890392,17;0,0;7861,0;Medicina de Grupo;Pequeno;Empresarial
2018;300012;2018Q4;4114416,79;0,0;8021,0;Medicina de Grupo;Pequeno;Empresarial
2019;300012;2019Q2;7570634,06;0,0;7337,0;Medicina de Grupo;Pequeno;Empresarial
2019;300012;2019Q3;3829107,93;0,0;7175,0;Medicina de Grupo;Pequeno;Empresarial
2019;300012;2019Q4;7578097,84;0,0;6791,0;Medicina de Grupo;Pequeno;Empresarial
2020;300012;2020Q1;3704215,28;0,0;6705,0;Medicina de Grupo;Pequeno;Empresarial
2020;300012;2020Q2;3594810,71;0,0;6306,0;Medicina de Grupo;Pequeno;Empresarial
2020;300012;2020Q3;3636128,12;0,0;6286,0;Medicina de Grupo;Pequeno;Empresarial
2020;300012;2020Q4;3731482,84;0,0;6237,0;Medicina de Grupo;Pequeno;Empresarial
2021;300012;2021Q1;4376701,84;0,0;6119,0;Medicina de Grupo;Pequeno;Empresarial
2021;300012;2021Q2;2842980,1;2620689,58;2689,0;Medicina de Grupo;Pequeno;Empresarial
2021;300012;2021Q3;1265433,85;59812,17;1609,0;Medicina de Grupo;Pequeno;Empresarial
2021;300012;2021Q4;1069841,01;2680501,75;1563,0;Medicina de Grupo;Pequeno;Empresarial
2018;301728;2018Q1;7899794,61;5618187,39;28245,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q2;8129743,36;5549151,03;28437,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q3;8479976,55;5798937,96;28882,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q4;8774820,81;6249971,17;29619,0;Medicina de Grupo;Médio;Empresarial
2019;301728;2019Q1;7999325,95;6372227,7;29828,0;Medicina de Grupo;Médio;Empresarial
2019;301728;2019Q2;8149828,93;6542431,37;29816,0;Medicina de Grupo;Médio;Empresarial
2019;301728;2019Q3;8462609,37;6363079,41;29909,0;Medicina de Grupo;Médio;Empresarial
2019;301728;2019Q4;9149651,88;6914105,71;32138,0;Medicina de Grupo;Médio;Empresarial
2020;301728;2020Q1;9532808,19;6952535,65;32185,0;Medicina de Grupo;Médio;Empresarial
2020;301728;2020Q2;9433907,82;5370881,71;31293,0;Medicina de Grupo;Médio;Empresarial
2020;301728;2020Q3;9248240,21;6482976,67;31122,0;Medicina de Grupo;Médio;Empresarial
2020;301728;2020Q4;9256233,29;6896805,42;30938,0;Medicina de Grupo;Médio;Empresarial
2021;301728;2021Q1;9612203,61;6813920,83;31035,0;Medicina de Grupo;Médio;Empresarial
2021;301728;2021Q2;10101402,35;7962572,56;31814,0;Medicina de Grupo;Médio;Empresarial
2021;301728;2021Q3;10623539,68;8511419,37;32251,0;Medicina de Grupo;Médio;Empresarial
2021;301728;2021Q4;10837737,88;7124923,78;32127,0;Medicina de Grupo;Médio;Empresarial
2018;302091;2018Q1;2262916,05;0,0;1665,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q2;0,0;42712,81;42,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q3;0,0;22969837,38;39,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q4;0,0;8357703,61;35,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q1;0,0;5111382,37;25,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q2;0,0;5288356,29;24,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q3;0,0;5603954,49;19,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q4;0,0;3899762,29;18,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q1;0,0;6854415,15;14,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q2;0,0;4010200,76;14,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q3;0,0;4843922,97;14,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q4;0,0;4406573,72;14,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q1;0,0;5454721,64;14,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q2;0,0;5781755,08;7045,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q3;0,0;10773958,9;7029,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q1;160819671,2;105897707,0;408884,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q2;198677810,5;118516535,4;472861,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q3;185881161,1;120571998,0;482949,0;Medicina de Grupo;Pequeno;Empresarial
2018;302091;2018Q4;196627203,0;130287602,3;464431,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q1;206581785,2;158447935,3;484768,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q2;220076968,4;176646841,9;533485,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q3;238648282,8;200619969,4;569832,0;Medicina de Grupo;Pequeno;Empresarial
2019;302091;2019Q4;235460082,3;200605749,4;559060,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q1;244021284,5;170723552,8;554536,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q2;243305593,1;160384290,8;549624,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q3;241164819,4;204587131,7;561672,0;Medicina de Grupo;Pequeno;Empresarial
2020;302091;2020Q4;253433891,9;210809778,3;546802,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q1;250896240,1;178593402,8;542820,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q2;253915704,2;135458453,5;551037,0;Medicina de Grupo;Pequeno;Empresarial
2021;302091;2021Q3;258236455,3;214626422,9;548179,0;Medicina de Grupo;Pequeno;Empresarial
2018;302147;2018Q1;1522464,22;10285209,59;14607,0;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q2;3087494,43;13953502,37;14833,0;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q3;3287897,22;15386432,03;13890,0;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q4;3980434,99;15790901,18;15277,0;Medicina de Grupo;Grande;Empresarial
2019;302147;2019Q1;4128430,27;17490733,31;15709,0;Medicina de Grupo;Grande;Empresarial
2019;302147;2019Q2;4205183,52;17755457,53;15906,0;Medicina de Grupo;Grande;Empresarial
2019;302147;2019Q3;4294607,53;18283907,71;15934,0;Medicina de Grupo;Grande;Empresarial
