trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;7,66;5,9;4805564;7;77,02
2018Q2;7,86;6,61;4810494;7;84,1
2018Q3;8,11;6,67;4824082;7;82,24
2018Q4;8,37;6,66;4805301;7;79,57
2019Q1;8,49;6,42;4811095;7;75,62
2019Q2;8,6;7,19;4812146;7;83,6
2019Q3;8,96;7,47;4952242;7;83,37
2019Q4;9,31;7,6;5065916;7;81,63
2020Q1;9,46;7,33;5097181;7;77,48
2020Q2;9,27;5,44;5022795;7;58,68
2020Q3;9,57;7,44;4985571;7;77,74
2020Q4;9,7;8,1;5064950;7;83,51
2021Q1;9,99;8,1;5106873;7;81,08
2021Q2;10,2;8,9;5158160;7;87,25
2021Q3;10,44;9,46;5342422;7;90,61
2021Q4;10,9;9,4;5478868;7;86,24
