ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;312126;2018Q1;295072818,4;238994223,4;162561,0;Autogestão;Grande;Empresarial
2018;312126;2018Q2;355884664,6;290175287,4;162617,0;Autogestão;Grande;Empresarial
2018;312126;2018Q3;344045625,8;280282823,3;162925,0;Autogestão;Grande;Empresarial
2018;312126;2018Q4;343641051,4;289970852,9;159991,0;Autogestão;Grande;Empresarial
2019;312126;2019Q1;349865229,4;305723239,3;161031,0;Autogestão;Grande;Empresarial
2019;312126;2019Q2;407230988,0;326395022,7;159557,0;Autogestão;Grande;Empresarial
2019;312126;2019Q3;409102313,2;341998751,9;158160,0;Autogestão;Grande;Empresarial
2019;312126;2019Q4;416868412,1;465016335,9;156915,0;Autogestão;Grande;Empresarial
2020;312126;2020Q1;390243617,8;338268252,9;157070,0;Autogestão;Grande;Empresarial
2020;312126;2020Q2;428162304,9;271019279,4;157294,0;Autogestão;Grande;Empresarial
2020;312126;2020Q3;425059304,8;342276130,3;156104,0;Autogestão;Grande;Empresarial
2020;312126;2020Q4;415156725,9;375991950,8;155136,0;Autogestão;Grande;Empresarial
2021;312126;2021Q1;430995656,2;369153091,6;154647,0;Autogestão;Grande;Empresarial
2021;312126;2021Q2;456665917,5;429234678,5;153976,0;Autogestão;Grande;Empresarial
2021;312126;2021Q3;454951862,7;430984998,6;151999,0;Autogestão;Grande;Empresarial
2021;312126;2021Q4;450063793,3;413254645,6;150826,0;Autogestão;Grande;Empresarial
2018;315478;2018Q1;36781055,98;33573674,42;39839,0;Autogestão;Grande;Empresarial
2018;315478;2018Q2;38446125,36;35771789,41;40259,0;Autogestão;Grande;Empresarial
2018;315478;2018Q3;36669306,57;35761635,98;41655,0;Autogestão;Grande;Empresarial
2018;315478;2018Q4;49360233,64;47580482,24;42580,0;Autogestão;Grande;Empresarial
2019;315478;2019Q1;37426574,86;42241299,13;44140,0;Autogestão;Grande;Empresarial
2019;315478;2019Q2;39068771,81;42461471,14;46165,0;Autogestão;Grande;Empresarial
2019;315478;2019Q3;53898096,31;55187119,02;97799,0;Autogestão;Grande;Empresarial
2019;315478;2019Q4;141259369,8;146264210,7;100023,0;Autogestão;Grande;Empresarial
2020;315478;2020Q1;140750832,8;148873486,7;101240,0;Autogestão;Grande;Empresarial
2020;315478;2020Q2;109089885,5;112554520,9;101783,0;Autogestão;Grande;Empresarial
2020;315478;2020Q3;125568980,3;125008142,6;101943,0;Autogestão;Grande;Empresarial
2020;315478;2020Q4;132918837,1;133523818,0;92299,0;Autogestão;Grande;Empresarial
2021;315478;2021Q1;127619805,6;127273968,0;93296,0;Autogestão;Grande;Empresarial
2021;315478;2021Q2;157553056,3;158547062,1;94611,0;Autogestão;Grande;Empresarial
