trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,02;0,99;996843;5;97,06
2018Q2;1,24;1,18;995375;5;95,16
2018Q3;1,37;1,31;993712;5;95,62
2018Q4;1,43;1,28;989260;5;89,51
2019Q1;2,43;2,12;1409352;6;87,24
2019Q2;2,57;2,21;1395098;6;85,99
2019Q3;2,64;2,33;1426267;6;88,26
2019Q4;2,73;2,41;1388053;6;88,28
2020Q1;2,66;2,17;1355143;6;81,58
2020Q2;2,64;1,78;1334288;6;67,42
2020Q3;2,73;2,01;1315462;6;73,63
2020Q4;2,73;2,39;1280366;6;87,55
2021Q1;2,76;2,18;1253051;6;78,99
2021Q2;2,83;2,51;1228658;6;88,69
2021Q3;2,81;2,17;1208276;6;77,22
2021Q4;2,75;2,46;1192965;6;89,45
