trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;10,47;7,92;6220149;39;75,64
2018Q2;10,34;8,37;6321337;39;80,95
2018Q3;11,13;9,02;6414394;39;81,04
2018Q4;14,63;11,67;6415788;39;79,77
2019Q1;10,11;8,06;6397412;39;79,72
2019Q2;10,46;8,82;6428068;39;84,32
2019Q3;10,75;8,96;6417426;39;83,35
2019Q4;10,8;9,14;6439683;39;84,63
2020Q1;11,03;8,74;6517718;39;79,24
2020Q2;10,9;6,92;6496166;39;63,49
2020Q3;10,7;8,36;6523999;39;78,13
2020Q4;11,39;9,4;6548569;39;82,53
2021Q1;11,49;9,09;6625129;39;79,11
2021Q2;11,81;10,25;6789120;39;86,79
2021Q3;12,41;10,57;6934878;39;85,17
2021Q4;12,65;10,19;7037851;39;80,55
