ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314218;2018Q1;27979406,3;18711233,05;39054,0;Filantropia;Grande;Empresarial
2018;314218;2018Q2;28855945,93;22100166,2;38748,0;Filantropia;Grande;Empresarial
2018;314218;2018Q3;30385542,5;21927345,38;38720,0;Filantropia;Grande;Empresarial
2018;314218;2018Q4;31550010,82;19276404,96;37000,0;Filantropia;Grande;Empresarial
2019;314218;2019Q1;31315282,0;18314730,76;35723,0;Filantropia;Grande;Empresarial
2019;314218;2019Q2;31353150,3;20582919,81;35266,0;Filantropia;Grande;Empresarial
2019;314218;2019Q3;32385306,96;20242109,3;35378,0;Filantropia;Grande;Empresarial
2019;314218;2019Q4;33535140,72;19504682,24;36163,0;Filantropia;Grande;Empresarial
2020;314218;2020Q1;34446415,07;20690920,21;37331,0;Filantropia;Grande;Empresarial
2020;314218;2020Q2;35623474,22;16535965,71;38361,0;Filantropia;Grande;Empresarial
2020;314218;2020Q3;37100972,44;22456629,98;40514,0;Filantropia;Grande;Empresarial
2020;314218;2020Q4;39414748,37;28506645,49;42124,0;Filantropia;Grande;Empresarial
2021;314218;2021Q1;40178039,0;28386489,43;42945,0;Filantropia;Grande;Empresarial
2021;314218;2021Q2;40253315,87;31857064,3;43597,0;Filantropia;Grande;Empresarial
2021;314218;2021Q3;40704111,23;31233961,03;43541,0;Filantropia;Grande;Empresarial
2021;314218;2021Q4;41554047,3;33742866,93;43790,0;Filantropia;Grande;Empresarial
2018;339954;2018Q1;0,0;6180,19;135,0;Filantropia;Grande;Empresarial
2018;339954;2018Q2;0,0;1407,16;133,0;Filantropia;Grande;Empresarial
2018;339954;2018Q3;0,0;19240,05;61,0;Filantropia;Grande;Empresarial
2018;339954;2018Q4;0,0;8397,95;58,0;Filantropia;Grande;Empresarial
2019;339954;2019Q1;0,0;367244,99;58,0;Filantropia;Grande;Empresarial
2019;339954;2019Q2;0,0;2039605,15;56,0;Filantropia;Grande;Empresarial
2019;339954;2019Q3;0,0;442654,44;56,0;Filantropia;Grande;Empresarial
2019;339954;2019Q4;0,0;2100485,71;56,0;Filantropia;Grande;Empresarial
2020;339954;2020Q1;0,0;653787,64;56,0;Filantropia;Grande;Empresarial
2020;339954;2020Q2;113,95;172993,3;56,0;Filantropia;Grande;Empresarial
2020;339954;2020Q3;0,0;329104,22;55,0;Filantropia;Grande;Empresarial
2020;339954;2020Q4;0,0;1102149,85;55,0;Filantropia;Grande;Empresarial
2021;339954;2021Q1;0,0;909107,64;53,0;Filantropia;Grande;Empresarial
2021;339954;2021Q2;0,0;485628,83;53,0;Filantropia;Grande;Empresarial
2021;339954;2021Q3;0,0;808041,22;53,0;Filantropia;Grande;Empresarial
2021;339954;2021Q4;0,0;645880,94;53,0;Filantropia;Grande;Empresarial
2018;339954;2018Q1;56786180,43;46388222,52;94205,0;Filantropia;Grande;Empresarial
2018;339954;2018Q2;59084180,67;50140142,89;99101,0;Filantropia;Grande;Empresarial
2018;339954;2018Q3;62905978,32;51676801,94;101556,0;Filantropia;Grande;Empresarial
2018;339954;2018Q4;64688110,03;49133453,56;102844,0;Filantropia;Grande;Empresarial
2019;339954;2019Q1;66419355,6;53537713,71;106234,0;Filantropia;Grande;Empresarial
2019;339954;2019Q2;66452015,86;54117237,22;109359,0;Filantropia;Grande;Empresarial
2019;339954;2019Q3;70768440,86;52924710,97;110543,0;Filantropia;Grande;Empresarial
2019;339954;2019Q4;75791650,76;68261350,36;113999,0;Filantropia;Grande;Empresarial
2020;339954;2020Q1;73942306,28;52053198,41;113531,0;Filantropia;Grande;Empresarial
2020;339954;2020Q2;70705244,38;47312107,99;112058,0;Filantropia;Grande;Empresarial
2020;339954;2020Q3;73215708,91;59966962,92;110852,0;Filantropia;Grande;Empresarial
2020;339954;2020Q4;75483549,33;65885764,32;115799,0;Filantropia;Grande;Empresarial
2021;339954;2021Q1;76369186,18;66557428,87;120018,0;Filantropia;Grande;Empresarial
2021;339954;2021Q2;78870242,32;72634319,28;121282,0;Filantropia;Grande;Empresarial
2021;339954;2021Q3;82175567,0;75260435,0;123739,0;Filantropia;Grande;Empresarial
2021;339954;2021Q4;85682777,5;74631229,23;126758,0;Filantropia;Grande;Empresarial
