trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;84,77;65,11;133394;2;76,81
2018Q2;87,94;72,24;137982;2;82,15
2018Q3;93,29;73,62;140337;2;78,92
2018Q4;96,24;68,42;139902;2;71,09
2019Q1;97,73;72,22;142015;2;73,9
2019Q2;97,81;76,74;144681;2;78,46
2019Q3;103,15;73,61;145977;2;71,36
2019Q4;109,33;89,87;150218;2;82,2
2020Q1;108,39;73,4;150918;2;67,72
2020Q2;106,33;64,02;150475;2;60,21
2020Q3;110,32;82,75;151421;2;75,01
2020Q4;114,9;95,49;157978;2;83,11
2021Q1;116,55;95,85;163016;2;82,24
2021Q2;119,12;104,98;164932;2;88,13
2021Q3;122,88;107,3;167333;2;87,32
2021Q4;127,24;109,02;170601;2;85,68
