ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;302147;2018Q1;1522464,22;10285209,59;14607;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q2;3087494,43;13953502,37;14833;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q3;3287897,22;15386432,03;13890;Medicina de Grupo;Grande;Empresarial
2018;302147;2018Q4;3980434,99;15790901,18;15277;Medicina de Grupo;Grande;Empresarial
2018;303623;2018Q1;11372067,34;10827014,61;17421;Medicina de Grupo;Grande;Empresarial
2018;303623;2018Q2;11698503,8;3164702,46;18025;Medicina de Grupo;Grande;Empresarial
2018;303623;2018Q3;12988531,71;7402003,13;18758;Medicina de Grupo;Grande;Empresarial
2018;303623;2018Q4;14354299,06;8255899,67;19322;Medicina de Grupo;Grande;Empresarial
2018;309222;2018Q1;239277459,9;174625991,9;351567;Medicina de Grupo;Grande;Empresarial
2018;309222;2018Q2;250364448,9;177543282,8;352407;Medicina de Grupo;Grande;Empresarial
2018;309222;2018Q3;259598690,4;198743011,8;340473;Medicina de Grupo;Grande;Empresarial
2018;309222;2018Q4;262365483,2;200770479,8;314246;Medicina de Grupo;Grande;Empresarial
2018;310247;2018Q1;36900430,97;15697319,61;47322;Medicina de Grupo;Grande;Empresarial
2018;310247;2018Q2;37462720,519999996;18158682,45;47426;Medicina de Grupo;Grande;Empresarial
2018;310247;2018Q3;38694361,650000006;18398573,59;48957;Medicina de Grupo;Grande;Empresarial
2018;310247;2018Q4;39744691,61;19084361,5;48920;Medicina de Grupo;Grande;Empresarial
2018;326305;2018Q1;3236788822,03;2316999475,54;2684497;Medicina de Grupo;Grande;Empresarial
2018;326305;2018Q2;3294817330,8;2639322564,3;2655360;Medicina de Grupo;Grande;Empresarial
2018;326305;2018Q3;3377590375,5;2732716060,2;2646233;Medicina de Grupo;Grande;Empresarial
2018;326305;2018Q4;3523375247,3;2787383782,7;2749180;Medicina de Grupo;Grande;Empresarial
2018;333689;2018Q1;192563520,8;190085279,3;240838;Medicina de Grupo;Grande;Empresarial
2018;333689;2018Q2;204301078,8;202717879,8;234779;Medicina de Grupo;Grande;Empresarial
2018;333689;2018Q3;204680449,0;202663535,0;226011;Medicina de Grupo;Grande;Empresarial
2018;333689;2018Q4;176726376,1;175527917,0;216481;Medicina de Grupo;Grande;Empresarial
2018;337510;2018Q1;13425387,31;9775542,97;28494;Medicina de Grupo;Grande;Empresarial
2018;337510;2018Q2;13761449,55;11466722,74;28751;Medicina de Grupo;Grande;Empresarial
2018;337510;2018Q3;14373907,0;11387069,77;28872;Medicina de Grupo;Grande;Empresarial
2018;337510;2018Q4;14507313,83;9654969,39;28812;Medicina de Grupo;Grande;Empresarial
2018;340782;2018Q1;42244893,4;31144642,75;117471;Medicina de Grupo;Grande;Empresarial
2018;340782;2018Q2;49972531,05;39042752,53;130002;Medicina de Grupo;Grande;Empresarial
2018;340782;2018Q3;54315603,69;43243557,52;127902;Medicina de Grupo;Grande;Empresarial
2018;340782;2018Q4;56760244,68;43741692,31;133989;Medicina de Grupo;Grande;Empresarial
2018;342033;2018Q1;80642741,17;59248586,02;208709;Medicina de Grupo;Grande;Empresarial
2018;342033;2018Q2;82708062,65;57089123,08;215450;Medicina de Grupo;Grande;Empresarial
2018;342033;2018Q3;87265991,76;65708057,45;216976;Medicina de Grupo;Grande;Empresarial
2018;342033;2018Q4;91052310,07;62179219,0;221605;Medicina de Grupo;Grande;Empresarial
2018;348180;2018Q1;16072378,48;8046901,71;42044;Medicina de Grupo;Grande;Empresarial
2018;348180;2018Q2;16909754,94;10473531,41;42749;Medicina de Grupo;Grande;Empresarial
2018;348180;2018Q3;17815451,51;9869714,32;43040;Medicina de Grupo;Grande;Empresarial
2018;348180;2018Q4;18497635,67;10108064,57;43241;Medicina de Grupo;Grande;Empresarial
2018;348520;2018Q1;80166354,66;58720373,67;281431;Medicina de Grupo;Grande;Empresarial
2018;348520;2018Q2;81777979,6;66288648,55;277068;Medicina de Grupo;Grande;Empresarial
2018;348520;2018Q3;84455455,3;67193008,07;281759;Medicina de Grupo;Grande;Empresarial
2018;348520;2018Q4;89368008,69;65876153,12;290671;Medicina de Grupo;Grande;Empresarial
2018;349682;2018Q1;32783074,42;21116091,64;74951;Medicina de Grupo;Grande;Empresarial
2018;349682;2018Q2;33396457,8;23656831,15;75669;Medicina de Grupo;Grande;Empresarial
2018;349682;2018Q3;34409453,17;24302530,12;75282;Medicina de Grupo;Grande;Empresarial
2018;349682;2018Q4;35410756,83;25133702,04;76461;Medicina de Grupo;Grande;Empresarial
2018;350141;2018Q1;41979757,68;29686839,47;84543;Medicina de Grupo;Grande;Empresarial
2018;350141;2018Q2;42850512,41;33609646,21;86394;Medicina de Grupo;Grande;Empresarial
2018;350141;2018Q3;44329112,1;34982918,73;86400;Medicina de Grupo;Grande;Empresarial
2018;350141;2018Q4;44608953,65;33839930,97;83676;Medicina de Grupo;Grande;Empresarial
2018;350249;2018Q1;19673240,94;13486182,89;55446;Medicina de Grupo;Grande;Empresarial
2018;350249;2018Q2;23116552,48;20785170,22;57914;Medicina de Grupo;Grande;Empresarial
2018;350249;2018Q3;23228143,73;19824684,3;58971;Medicina de Grupo;Grande;Empresarial
2018;350249;2018Q4;23229099,75;21408927,78;56094;Medicina de Grupo;Grande;Empresarial
2018;355097;2018Q1;58658838,15;54981886,13;142225;Medicina de Grupo;Grande;Empresarial
2018;355097;2018Q2;60942359,15;63726119,88;140358;Medicina de Grupo;Grande;Empresarial
2018;355097;2018Q3;61080198,87;66693790,69;144335;Medicina de Grupo;Grande;Empresarial
2018;355097;2018Q4;61544802,74;72387971,45;147717;Medicina de Grupo;Grande;Empresarial
2018;359017;2018Q1;1167241700,0;151334960,7;1820523;Medicina de Grupo;Grande;Empresarial
2018;359017;2018Q2;1190022309,0;172880528,5;1879168;Medicina de Grupo;Grande;Empresarial
2018;359017;2018Q3;1208703075,0;2148180460,0;1907194;Medicina de Grupo;Grande;Empresarial
2018;359017;2018Q4;1244609092,0;801639345,4;1898394;Medicina de Grupo;Grande;Empresarial
2018;359661;2018Q1;229346493,1;162484096,8;58226;Medicina de Grupo;Grande;Empresarial
2018;359661;2018Q2;238011738,2;177072098,6;58758;Medicina de Grupo;Grande;Empresarial
2018;359661;2018Q3;244511323,9;173431572,5;59239;Medicina de Grupo;Grande;Empresarial
2018;359661;2018Q4;246189091,9;175303734,7;55831;Medicina de Grupo;Grande;Empresarial
2018;367095;2018Q1;12707543,94;9086680,59;30870;Medicina de Grupo;Grande;Empresarial
2018;367095;2018Q2;13914562,72;9420486,56;32380;Medicina de Grupo;Grande;Empresarial
2018;367095;2018Q3;16949411,98;11377587,51;50287;Medicina de Grupo;Grande;Empresarial
2018;367095;2018Q4;24345561,64;14971077,22;53396;Medicina de Grupo;Grande;Empresarial
2018;368253;2018Q1;639419770,09;495608709,4;1481910;Medicina de Grupo;Grande;Empresarial
