trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;7,12;4,61;8731295;30;64,75
2018Q2;7,31;5,2;8783209;30;71,14
2018Q3;7,47;7,35;8824054;30;98,39
2018Q4;7,66;6,01;8994674;30;78,46
2019Q1;7,93;6,0;9104418;31;75,66
2019Q2;8,16;6,57;9238277;31;80,51
2019Q3;8,14;6,67;9170348;31;81,94
2019Q4;8,25;6,56;9200700;31;79,52
2020Q1;8,5;6,75;9517449;32;79,41
2020Q2;8,31;5,48;9388649;32;65,94
2020Q3;8,51;6,28;9718181;32;73,8
2020Q4;8,95;7,43;10123463;32;83,02
2021Q1;9,07;7,53;10380397;32;83,02
2021Q2;9,41;8,21;10492555;32;87,25
2021Q3;9,74;8,65;10577878;32;88,81
2021Q4;10,03;8,53;11284348;32;85,04
