trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;7,48;5,74;4722238;5;76,74
2018Q2;7,72;6,45;4741690;5;83,55
2018Q3;7,97;6,54;4767929;5;82,06
2018Q4;8,25;6,55;4760139;5;79,39
2019Q1;8,38;6,33;4775436;5;75,54
2019Q2;8,52;7,1;4783584;5;83,33
2019Q3;8,88;7,39;4923904;5;83,22
2019Q4;9,22;7,52;5036382;5;81,56
2020Q1;9,38;7,26;5066939;5;77,4
2020Q2;9,17;5,39;4991233;5;58,78
2020Q3;9,47;7,37;4953257;5;77,82
2020Q4;9,6;8,02;5028111;5;83,54
2021Q1;9,88;8,01;5071106;5;81,07
2021Q2;10,1;8,8;5123068;5;87,13
2021Q3;10,34;9,35;5307586;5;90,43
2021Q4;10,79;9,3;5444988;5;86,19
