trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;0,78;0,67;703154,0;21;85,9
2018Q2;0,79;0,71;700363,0;21;89,87
2018Q3;0,84;0,73;695860,0;21;86,9
2018Q4;0,92;0,75;690592,0;21;81,52
2019Q1;1,1;0,78;782074,0;25;70,91
2019Q2;1,1;0,92;776626,0;25;83,64
2019Q3;1,14;0,9;770626,0;25;78,95
2019Q4;1,17;0,88;772008,0;25;75,21
2020Q1;1,18;0,85;766904,0;26;72,03
2020Q2;1,18;0,71;772009,0;26;60,17
2020Q3;1,2;0,81;768974,0;26;67,5
2020Q4;1,26;0,92;791722,0;26;73,02
2021Q1;1,22;0,94;794631,0;26;77,05
2021Q2;1,24;1,03;789968,0;26;83,06
2021Q3;1,28;1,13;785603,0;26;88,28
2021Q4;1,36;1,1;780529,0;26;80,88
