ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;300136;2018Q1;10215623,215936186;7427629,358998034;23252;Cooperativa Médica;Médio;Empresarial
2018;337188;2018Q3;35235628,912819326;25222685,726499513;54063;Cooperativa Médica;Médio;Empresarial
2018;352543;2018Q4;7507877,4647368565;2975107,784954698;8782;Cooperativa Médica;Médio;Empresarial
2018;352543;2018Q3;6713445,181754381;2414253,3016817677;8571;Cooperativa Médica;Médio;Empresarial
2018;352543;2018Q2;6400926,861754381;4749168,8316817675;7603;Cooperativa Médica;Médio;Empresarial
2018;352543;2018Q1;5819098,911754382;3517280,2516817674;7476;Cooperativa Médica;Médio;Empresarial
2018;352314;2018Q4;11254278,901702337;7123889,934956099;15750;Cooperativa Médica;Médio;Empresarial
2018;352314;2018Q3;10988570,591702335;8856773,224956099;15403;Cooperativa Médica;Médio;Empresarial
2018;352314;2018Q2;10681648,603743251;8224768,766098624;15168;Cooperativa Médica;Médio;Empresarial
2018;352314;2018Q1;10349447,712852076;7479782,483989177;15114;Cooperativa Médica;Médio;Empresarial
2018;352179;2018Q4;10047178,575700162;5839898,639809513;734;Cooperativa Médica;Médio;Empresarial
2018;352179;2018Q3;9556612,702899517;7909170,89057146;729;Cooperativa Médica;Médio;Empresarial
2018;352683;2018Q2;17244019,52495461;11777673,26430841;21355;Cooperativa Médica;Médio;Empresarial
2018;352179;2018Q2;9197838,435700161;8398274,439809514;716;Cooperativa Médica;Médio;Empresarial
2018;351792;2018Q4;3081268,983896868;2394138,941804888;7641;Cooperativa Médica;Médio;Empresarial
2018;351792;2018Q3;2917281,3798077274;2476740,6348836096;7691;Cooperativa Médica;Médio;Empresarial
2018;351792;2018Q2;2800579,436212057;2327026,105499223;7388;Cooperativa Médica;Médio;Empresarial
2018;351792;2018Q1;2727517,2700833483;2153721,6578122796;7113;Cooperativa Médica;Médio;Empresarial
2018;351407;2018Q4;12971629,32525611;10545764,073267166;29478;Cooperativa Médica;Médio;Empresarial
2018;351407;2018Q3;12472723,475256108;12729056,063267166;29958;Cooperativa Médica;Médio;Empresarial
2018;351407;2018Q2;12586336,291921683;12256814,782673564;29983;Cooperativa Médica;Médio;Empresarial
2018;351407;2018Q1;12200725,037566103;11159018,940792106;28763;Cooperativa Médica;Médio;Empresarial
2018;350371;2018Q4;7774344,4233732205;6590666,982743777;11365;Cooperativa Médica;Médio;Empresarial
2018;350371;2018Q3;7365324,291167628;6819476,381155014;11365;Cooperativa Médica;Médio;Empresarial
2018;350371;2018Q2;6743111,057729576;5074910,408050604;11252;Cooperativa Médica;Médio;Empresarial
2018;352179;2018Q1;8845886,14570016;7511906,659809513;706;Cooperativa Médica;Médio;Empresarial
2018;349712;2018Q4;24024501,410531588;17504234,970166087;49757;Cooperativa Médica;Médio;Empresarial
2018;350371;2018Q1;6867141,507729576;7419260,608050603;10984;Cooperativa Médica;Médio;Empresarial
2018;353060;2018Q1;16060102,617829952;12299694,426191702;26920;Cooperativa Médica;Médio;Empresarial
2018;356417;2018Q1;36937579,28041772;26626734,52576545;43970;Cooperativa Médica;Médio;Empresarial
2018;356123;2018Q4;1730724,927038376;4207084,615499916;9233;Cooperativa Médica;Médio;Empresarial
2018;356123;2018Q2;1706547,1273631884;3524218,136057562;8776;Cooperativa Médica;Médio;Empresarial
2018;356123;2018Q1;1597875,8470383761;2912816,635499915;8263;Cooperativa Médica;Médio;Empresarial
2018;354783;2018Q4;14587776,899436966;10612649,871960055;26283;Cooperativa Médica;Médio;Empresarial
2018;354783;2018Q3;14238526,838255435;11205433,753242489;26089;Cooperativa Médica;Médio;Empresarial
2018;354783;2018Q2;13747437,252571527;10738878,009171102;26151;Cooperativa Médica;Médio;Empresarial
2018;354783;2018Q1;13318370,549736073;9744286,365626354;25920;Cooperativa Médica;Médio;Empresarial
2018;354295;2018Q4;27351070,94136454;18272583,655404583;41528;Cooperativa Médica;Médio;Empresarial
2018;354295;2018Q3;26523409,134969965;18170717,089712884;42112;Cooperativa Médica;Médio;Empresarial
2018;352683;2018Q4;18429193,08568646;4911673,926923273;21464;Cooperativa Médica;Médio;Empresarial
