trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,76;1,31;2702304;113;74,43
2018Q2;1,83;1,42;2724619;113;77,6
2018Q3;1,9;1,49;2716184;113;78,42
2018Q4;2,16;1,46;2694288;113;67,59
2019Q1;1,77;1,37;2697665;113;77,4
2019Q2;1,83;1,52;2722144;113;83,06
2019Q3;1,9;1,61;2752440;113;84,74
2019Q4;1,95;1,63;2769239;113;83,59
2020Q1;1,97;1,49;2767829;113;75,63
2020Q2;2,01;1,26;2732914;113;62,69
2020Q3;2,05;1,48;2759754;113;72,2
2020Q4;2,07;1,64;2830556;113;79,23
2021Q1;2,19;1,64;2861695;113;74,89
2021Q2;2,26;1,86;2904241;113;82,3
2021Q3;2,33;1,95;2969534;113;83,69
2021Q4;2,45;1,86;3004758;113;75,92
