ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;318299;2018Q1;11807016,35;8998580,52;23691;Filantropia;Médio;Empresarial
2018;318299;2018Q2;12014084,3;9812864,57;23624;Filantropia;Médio;Empresarial
2018;318299;2018Q3;10885884,59;9980503,25;22570;Filantropia;Médio;Empresarial
2018;318299;2018Q4;11618926,399999999;10202574,799999999;22615;Filantropia;Médio;Empresarial
2018;322326;2018Q1;1375827,72;67037,89;40164;Filantropia;Médio;Empresarial
2018;322326;2018Q2;1644841,5299999998;52836,92;40522;Filantropia;Médio;Empresarial
2018;322326;2018Q3;1668419,2;14200,97;40789;Filantropia;Médio;Empresarial
2018;322326;2018Q4;1771027,4899999998;175,96;40371;Filantropia;Médio;Empresarial
2018;336831;2018Q1;7289026,09;6400993,41;17169;Filantropia;Médio;Empresarial
2018;336831;2018Q2;7814671,15;6186331,74;17685;Filantropia;Médio;Empresarial
2018;336831;2018Q3;8148014,55;7070538,39;18102;Filantropia;Médio;Empresarial
2018;336831;2018Q4;8516648,04;6955413,98;18367;Filantropia;Médio;Empresarial
2018;342807;2018Q1;9504125,86;5387220,4;19629;Filantropia;Médio;Empresarial
2018;342807;2018Q2;10063331,12;5795225,54;19918;Filantropia;Médio;Empresarial
2018;342807;2018Q3;10295433,52;5789909,14;20559;Filantropia;Médio;Empresarial
2018;342807;2018Q4;10867538,74;5875677,7;21234;Filantropia;Médio;Empresarial
2018;345091;2018Q1;7086233,34;5764176,61;15437;Filantropia;Médio;Empresarial
2018;345091;2018Q2;7253802,96;6097725,54;15219;Filantropia;Médio;Empresarial
2018;345091;2018Q3;7264222,71;5573204,62;15133;Filantropia;Médio;Empresarial
2018;345091;2018Q4;7236442,62;5375878,17;15033;Filantropia;Médio;Empresarial
2018;347655;2018Q1;9439989,87;6697991,82;21888;Filantropia;Médio;Empresarial
2018;347655;2018Q2;9493523,64;7046125,31;21882;Filantropia;Médio;Empresarial
2018;347655;2018Q3;9793987,26;7287444,3;22420;Filantropia;Médio;Empresarial
2018;347655;2018Q4;10106594,21;7626359,07;22917;Filantropia;Médio;Empresarial
2018;354562;2018Q1;14253828,14;11723517,81;30247;Filantropia;Médio;Empresarial
2018;354562;2018Q2;15472185,24;12787712,52;31553;Filantropia;Médio;Empresarial
2018;354562;2018Q3;16433802,83;14417540,92;31950;Filantropia;Médio;Empresarial
2018;354562;2018Q4;17160522,84;13518424,73;32927;Filantropia;Médio;Empresarial
2019;318299;2019Q1;11561737,129999999;8889838,91;22513;Filantropia;Médio;Empresarial
2019;318299;2019Q2;11770321,08;9487021,41;22051;Filantropia;Médio;Empresarial
2019;318299;2019Q3;12073589,129999999;9760182,58;23344;Filantropia;Médio;Empresarial
2019;318299;2019Q4;12126048,01;10029108,13;23526;Filantropia;Médio;Empresarial
2019;322326;2019Q1;1580542,62;156656,69;40013;Filantropia;Médio;Empresarial
2019;322326;2019Q2;1529280,7000000002;79148,85;40008;Filantropia;Médio;Empresarial
2019;322326;2019Q3;1613193,52;436655,18;40218;Filantropia;Médio;Empresarial
2019;322326;2019Q4;1563679,17;538665,74;40017;Filantropia;Médio;Empresarial
2019;336831;2019Q1;8770835,77;6923682,5;18750;Filantropia;Médio;Empresarial
2019;336831;2019Q2;9144512,15;7911581,81;19154;Filantropia;Médio;Empresarial
2019;336831;2019Q3;9564507,42;8981420,75;19727;Filantropia;Médio;Empresarial
2019;336831;2019Q4;10019517,86;8587860,85;20223;Filantropia;Médio;Empresarial
2019;342807;2019Q1;11305303,13;7183581,74;21659;Filantropia;Médio;Empresarial
2019;342807;2019Q2;11600817,72;7566091,08;22524;Filantropia;Médio;Empresarial
2019;342807;2019Q3;12313613,68;7772587,61;23464;Filantropia;Médio;Empresarial
2019;342807;2019Q4;13125652,08;7007696,82;24083;Filantropia;Médio;Empresarial
2019;345091;2019Q1;6797606,04;5796677,58;14758;Filantropia;Médio;Empresarial
2019;345091;2019Q2;4662544,3;5525657,53;14654;Filantropia;Médio;Empresarial
2019;345091;2019Q3;6948709,0;5834420,51;14936;Filantropia;Médio;Empresarial
2019;345091;2019Q4;7387495,49;5303488,82;14942;Filantropia;Médio;Empresarial
2019;347655;2019Q1;9944488,01;7467115,99;23250;Filantropia;Médio;Empresarial
2019;347655;2019Q2;10165322,77;8737951,7;23102;Filantropia;Médio;Empresarial
2019;347655;2019Q3;10416322,99;8428477,07;23572;Filantropia;Médio;Empresarial
2019;347655;2019Q4;10542615,82;7738840,14;23384;Filantropia;Médio;Empresarial
2019;354562;2019Q1;15833042,41;12788489,38;33487;Filantropia;Médio;Empresarial
2019;354562;2019Q2;17011647,94;14535482,17;33323;Filantropia;Médio;Empresarial
2019;354562;2019Q3;18754896,56;15420149,48;31654;Filantropia;Médio;Empresarial
2019;354562;2019Q4;18201099,51;12916108,44;31796;Filantropia;Médio;Empresarial
2020;318299;2020Q1;12716319,83;8435067,63;24128;Filantropia;Médio;Empresarial
2020;318299;2020Q2;12945876,47;7626790,49;23947;Filantropia;Médio;Empresarial
2020;318299;2020Q3;13069366,89;11473445,98;24242;Filantropia;Médio;Empresarial
2020;318299;2020Q4;13785369,1;11750825,92;24882;Filantropia;Médio;Empresarial
2020;322326;2020Q1;1572672,68;662713,11;39491;Filantropia;Médio;Empresarial
2020;322326;2020Q2;2232859,41;2420584,64;37652;Filantropia;Médio;Empresarial
2020;322326;2020Q3;2389914,24;1644476,3599999999;36889;Filantropia;Médio;Empresarial
2020;322326;2020Q4;1699133,6600000001;2014432,81;36392;Filantropia;Médio;Empresarial
2020;336831;2020Q1;10114678,3;8761557,29;20383;Filantropia;Médio;Empresarial
2020;336831;2020Q2;10515042,83;7663213,89;20408;Filantropia;Médio;Empresarial
2020;336831;2020Q3;10713159,6;9073761,51;21122;Filantropia;Médio;Empresarial
2020;336831;2020Q4;11232770,43;10863013,07;21613;Filantropia;Médio;Empresarial
2020;342807;2020Q1;13515545,7;6622983,66;24120;Filantropia;Médio;Empresarial
2020;342807;2020Q2;13711260,63;3698808,59;24058;Filantropia;Médio;Empresarial
2020;342807;2020Q3;13906593,33;6595341,68;23826;Filantropia;Médio;Empresarial
2020;342807;2020Q4;14482752,0;7894310,46;24210;Filantropia;Médio;Empresarial
2020;345091;2020Q1;7412279,91;5648222,88;14858;Filantropia;Médio;Empresarial
2020;345091;2020Q2;7320831,66;3007554,32;14728;Filantropia;Médio;Empresarial
2020;345091;2020Q3;7347285,79;5650961,12;14749;Filantropia;Médio;Empresarial
2020;345091;2020Q4;7713094,25;6214461,48;14603;Filantropia;Médio;Empresarial
2020;347655;2020Q1;10521885,19;8169021,74;23449;Filantropia;Médio;Empresarial
2020;347655;2020Q2;10574846,95;5176164,9;23101;Filantropia;Médio;Empresarial
2020;347655;2020Q3;10576508,16;8195069,79;23047;Filantropia;Médio;Empresarial
2020;347655;2020Q4;10756705,87;7769765,79;23934;Filantropia;Médio;Empresarial
2020;354562;2020Q1;17449026,03;11639180,18;34112;Filantropia;Médio;Empresarial
2020;354562;2020Q2;16935262,38;9492142,6;33072;Filantropia;Médio;Empresarial
2020;354562;2020Q3;17681664,76;14177570,04;33445;Filantropia;Médio;Empresarial
2020;354562;2020Q4;18145156,4;14672787,73;33750;Filantropia;Médio;Empresarial
2021;318299;2021Q1;14264230,649999999;10689237,610000001;25489;Filantropia;Médio;Empresarial
2021;318299;2021Q2;14850875,879999999;11504661,21;25944;Filantropia;Médio;Empresarial
2021;318299;2021Q3;15165482,530000001;13057493,72;27016;Filantropia;Médio;Empresarial
2021;318299;2021Q4;15808516,52;13851946,260000002;27336;Filantropia;Médio;Empresarial
2021;322326;2021Q1;2183053,12;1594507,52;35597;Filantropia;Médio;Empresarial
