trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;84,94;65,13;228631;10;76,68
2018Q2;89,47;69,09;230336;10;77,22
2018Q3;90,84;71,83;231756;10;79,07
2018Q4;94,9;70,88;233583;10;74,69
2019Q1;94,22;70,16;220646;9;74,46
2019Q2;94,97;76,29;221129;9;80,33
2019Q3;102,45;80,41;224464;9;78,49
2019Q4;104,12;73,84;225787;9;70,92
2020Q1;111,52;73,61;241946;10;66,01
2020Q2;113,02;57,92;237652;10;51,25
2020Q3;115,04;86,44;239299;10;75,14
2020Q4;118,84;94,02;243385;10;79,11
2021Q1;119,57;87,04;244978;10;72,79
2021Q2;124,0;103,91;249550;10;83,8
2021Q3;126,62;112,93;253076;10;89,19
2021Q4;136,36;104,87;255366;10;76,91
