trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;674,89;511,9;1262338,0;54;75,85
2018Q2;694,49;541,29;1274976,0;54;77,94
2018Q3;720,83;554,6;1272998,0;54;76,94
2018Q4;711,06;534,65;1282662,0;54;75,19
2019Q1;729,25;542,89;1312473,0;57;74,44
2019Q2;750,78;591,45;1324781,0;57;78,78
2019Q3;787,67;617,79;1340038,0;57;78,43
2019Q4;794,03;614,31;1320193,0;57;77,37
2020Q1;802,44;621,5;1329417,0;58;77,45
2020Q2;797,92;534,31;1312832,0;58;66,96
2020Q3;798,99;588,96;1320570,0;58;73,71
2020Q4;803,17;609,65;1332484,0;58;75,91
2021Q1;844,62;632,38;1388730,0;61;74,87
2021Q2;866,09;738,89;1418663,0;61;85,31
2021Q3;865,5;716,18;1460494,0;61;82,75
2021Q4;930,17;671,4;1534525,0;61;72,18
