ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;515;2018Q1;109842062,7;89443688,54;46373,0;Seguradora;Médio;Empresarial
2018;515;2018Q2;96774151,4;90541091,35;41718,0;Seguradora;Médio;Empresarial
2018;515;2018Q3;99472880,55;87042774,57;36760,0;Seguradora;Médio;Empresarial
2018;515;2018Q4;86954875,93;75768048,68;31444,0;Seguradora;Médio;Empresarial
2019;515;2019Q1;84577119,84;63607146,89;29422,0;Seguradora;Médio;Empresarial
2019;515;2019Q2;80722671,43;71054512,17;28283,0;Seguradora;Médio;Empresarial
2019;515;2019Q3;83610223,26;70121063,02;28147,0;Seguradora;Médio;Empresarial
2019;515;2019Q4;85011663,8;68190021,57;29382,0;Seguradora;Médio;Empresarial
2020;515;2020Q1;85877257,57;64606519,98;30118,0;Seguradora;Médio;Empresarial
2020;515;2020Q2;90346769,55;50036214,42;31452,0;Seguradora;Médio;Empresarial
2020;515;2020Q3;93944975,56;62711132,21;32213,0;Seguradora;Médio;Empresarial
2020;515;2020Q4;103626130,4;80281429,49;36742,0;Seguradora;Médio;Empresarial
2021;515;2021Q1;107099131,6;89017757,99;35682,0;Seguradora;Médio;Empresarial
2021;515;2021Q2;106829552,1;102072143,1;35028,0;Seguradora;Médio;Empresarial
2021;515;2021Q3;105435437,2;104438018,6;34778,0;Seguradora;Médio;Empresarial
2021;515;2021Q4;107758030,2;93142469,74;33834,0;Seguradora;Médio;Empresarial
