trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;109,84;89,44;46373;1;81,43
2018Q2;96,77;90,54;41718;1;93,56
2018Q3;99,47;87,04;36760;1;87,5
2018Q4;86,95;75,77;31444;1;87,14
2019Q1;84,58;63,61;29422;1;75,21
2019Q2;80,72;71,05;28283;1;88,02
2019Q3;83,61;70,12;28147;1;83,87
2019Q4;85,01;68,19;29382;1;80,21
2020Q1;85,88;64,61;30118;1;75,23
2020Q2;90,35;50,04;31452;1;55,38
2020Q3;93,94;62,71;32213;1;66,76
2020Q4;103,63;80,28;36742;1;77,47
2021Q1;107,1;89,02;35682;1;83,12
2021Q2;106,83;102,07;35028;1;95,54
2021Q3;105,44;104,44;34778;1;99,05
2021Q4;107,76;93,14;33834;1;86,43
