ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;307751;2018Q1;1163852,86;607931,26;1039,0;Autogestão;Pequeno;Empresarial
2018;417297;2018Q3;15860336,35;3948641,2299999995;10635,0;Autogestão;Pequeno;Empresarial
2018;417297;2018Q1;13989878,5;3684571,44;10447,0;Autogestão;Pequeno;Empresarial
2018;414310;2018Q4;15349975,12;13841456,7;9992,0;Autogestão;Pequeno;Empresarial
2018;414310;2018Q3;11257335,99;12174491,44;10005,0;Autogestão;Pequeno;Empresarial
2018;414310;2018Q2;10855144,96;13807332,35;9963,0;Autogestão;Pequeno;Empresarial
2018;414310;2018Q1;10837229,31;12421590,76;9926,0;Autogestão;Pequeno;Empresarial
2018;414026;2018Q4;1201987,76;1124129,88;2043,0;Autogestão;Pequeno;Empresarial
2018;368920;2018Q1;15102877,78;9584310,89;16139,0;Autogestão;Pequeno;Empresarial
2018;417297;2018Q4;16612983,489999998;4540875,55;10611,0;Autogestão;Pequeno;Empresarial
2018;412295;2018Q4;8753698,97;7372748,55;4599,0;Autogestão;Pequeno;Empresarial
2018;412295;2018Q3;8348068,98;5649414,42;4691,0;Autogestão;Pequeno;Empresarial
2018;412295;2018Q2;8076773,3;5963442,51;4727,0;Autogestão;Pequeno;Empresarial
2018;412295;2018Q1;8010877,63;6564510,66;4702,0;Autogestão;Pequeno;Empresarial
2018;368920;2018Q4;15853032,45;9827832,88;15949,0;Autogestão;Pequeno;Empresarial
2018;368920;2018Q3;15898661,18;10355430,06;16032,0;Autogestão;Pequeno;Empresarial
2018;414026;2018Q2;1171924,9;763355,67;1982,0;Autogestão;Pequeno;Empresarial
2018;414026;2018Q3;1183949,55;934384,79;2023,0;Autogestão;Pequeno;Empresarial
2018;417548;2018Q1;35410720,49;28099451,62;14730,0;Autogestão;Pequeno;Empresarial
2018;414026;2018Q1;1577046,75;861713,51;2001,0;Autogestão;Pequeno;Empresarial
2018;417548;2018Q3;35001556,82;26297118,67;14656,0;Autogestão;Pequeno;Empresarial
2018;421341;2018Q4;13851208,806859883;8860571,742748305;7432,0;Autogestão;Pequeno;Empresarial
2018;415049;2018Q1;3623359,351235378;3300793,373478773;9717,0;Autogestão;Pequeno;Empresarial
2018;421341;2018Q3;12999426,689531432;8751548,043906033;7235,0;Autogestão;Pequeno;Empresarial
2018;421341;2018Q2;12780421,264586575;7733557,455536755;7184,0;Autogestão;Pequeno;Empresarial
2018;421341;2018Q1;12704804,05902211;7270862,047808904;7159,0;Autogestão;Pequeno;Empresarial
2018;415049;2018Q4;3950309,4044657424;4022482,6576802563;10741,0;Autogestão;Pequeno;Empresarial
2018;415049;2018Q3;3707384,5481909686;3972988,5673888354;10406,0;Autogestão;Pequeno;Empresarial
2018;415049;2018Q2;3644925,07610791;3510845,761452135;9944,0;Autogestão;Pequeno;Empresarial
2018;384704;2018Q1;5863631,818211695;5157638,654916525;3502,0;Autogestão;Pequeno;Empresarial
2018;384704;2018Q4;6392730,521721171;6285310,740950099;3721,0;Autogestão;Pequeno;Empresarial
2018;384704;2018Q3;5999608,620576695;6207973,990540932;3729,0;Autogestão;Pequeno;Empresarial
2018;384704;2018Q2;5898531,329490437;5485854,993592443;3558,0;Autogestão;Pequeno;Empresarial
2018;420093;2018Q4;889223,25;840255,9;675,0;Autogestão;Pequeno;Empresarial
2018;420093;2018Q3;991387,73;833555,05;695,0;Autogestão;Pequeno;Empresarial
2018;420093;2018Q2;813241,67;689371,11;726,0;Autogestão;Pequeno;Empresarial
2018;420093;2018Q1;788012,28;635694,3;739,0;Autogestão;Pequeno;Empresarial
2018;417548;2018Q4;34850601,12;24684364,71;14608,0;Autogestão;Pequeno;Empresarial
2018;368920;2018Q2;15636280,7;11443374,04;16100,0;Autogestão;Pequeno;Empresarial
