trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;188,3;135,1;145465,0;20;71,75
2018Q2;189,38;136,3;145515,0;20;71,97
2018Q3;192,89;140,88;146247,0;20;73,04
2018Q4;206,22;144,56;146587,0;20;70,1
2019Q1;243,69;204,0;158740,0;21;83,71
2019Q2;243,43;222,43;162325,0;21;91,37
2019Q3;263,67;228,45;162409,0;21;86,64
2019Q4;295,42;226,43;162008,0;21;76,65
2020Q1;275,34;212,47;172633,0;22;77,17
2020Q2;270,32;183,06;162417,0;22;67,72
2020Q3;293,08;204,91;162411,0;22;69,92
2020Q4;333,23;250,98;161819,0;22;75,32
2021Q1;326,24;256,53;160437,0;23;78,63
2021Q2;330,97;271,17;158775,0;23;81,93
2021Q3;341,55;292,5;166060,0;23;85,64
2021Q4;300,3;283,48;170727,0;23;94,4
