trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;446,38;366,79;620585;110;82,17
2018Q2;455,9;375,28;619691;110;82,32
2018Q3;476,56;376,26;617028;110;78,95
2018Q4;582,37;400,24;604118;110;68,73
2019Q1;383,26;326,92;610909;113;85,3
2019Q2;395,62;364,55;616264;113;92,15
2019Q3;395,19;362,78;618735;113;91,8
2019Q4;432,43;387,26;620559;113;89,55
2020Q1;432,16;329,23;623069;114;76,18
2020Q2;424,36;268,78;618021;114;63,34
2020Q3;437,46;301,91;622757;114;69,01
2020Q4;486,53;357,41;627394;114;73,46
2021Q1;460,44;341,65;631711;114;74,2
2021Q2;478,72;376,66;642610;114;78,68
2021Q3;487,32;392,04;647378;114;80,45
2021Q4;502,05;371,19;637953;114;73,93
