ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;306045;2018Q1;1522726,53;813503,08;1665,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q2;1570298,99;1053459,6;1644,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q3;1607607,83;1052819,67;1632,0;Filantropia;Pequeno;Empresarial
2018;306045;2018Q4;1633836,26;1028214,44;1616,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q1;735832,76;155257,59;2944,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q2;754053,1;269669,42;2963,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q3;788752,16;286979,54;3033,0;Filantropia;Pequeno;Empresarial
2018;314706;2018Q4;845835,92;178577,84;3219,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q1;3353520,29;2114716,88;6047,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q2;3337424,24;2223971,15;6130,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q3;3600575,83;2453769,3;6217,0;Filantropia;Pequeno;Empresarial
2018;319422;2018Q4;3728337,37;2565189,3;6360,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q1;1960257,2;796247,68;2074,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q2;1955831,56;989746,02;2055,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q3;1952727,7;1111445,42;2063,0;Filantropia;Pequeno;Empresarial
2018;321320;2018Q4;2127577,71;1118137,38;2067,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q1;801608,46;453919,09;636,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q2;807127,19;548147,33;636,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q3;848353,21;818780,4;638,0;Filantropia;Pequeno;Empresarial
2018;321931;2018Q4;878604,68;483022,01;643,0;Filantropia;Pequeno;Empresarial
2018;323942;2018Q1;1140439,51;960436,75;2875,0;Filantropia;Pequeno;Empresarial
2018;323942;2018Q2;1245403,16;857344,5;3098,0;Filantropia;Pequeno;Empresarial
2018;323942;2018Q3;1627614,72;1101085,45;3345,0;Filantropia;Pequeno;Empresarial
2018;323942;2018Q4;1293214,14;1210814,24;3312,0;Filantropia;Pequeno;Empresarial
2018;329355;2018Q1;5028852,63;3551533,03;10082,0;Filantropia;Pequeno;Empresarial
2018;329355;2018Q2;4998670,46;3574407,92;10015,0;Filantropia;Pequeno;Empresarial
2018;329355;2018Q3;5242716,72;3841382,08;10108,0;Filantropia;Pequeno;Empresarial
2018;329355;2018Q4;5384916,58;4254838,09;10116,0;Filantropia;Pequeno;Empresarial
2018;330116;2018Q1;5668760,34;4410163,78;11088,0;Filantropia;Pequeno;Empresarial
2018;330116;2018Q2;5871838,38;4906003,75;11164,0;Filantropia;Pequeno;Empresarial
2018;330116;2018Q3;5999012,77;5421862,03;11295,0;Filantropia;Pequeno;Empresarial
2018;330116;2018Q4;6140709,28;5342023,77;11341,0;Filantropia;Pequeno;Empresarial
2018;333808;2018Q1;4927410,96;3480111,4;7234,0;Filantropia;Pequeno;Empresarial
2018;333808;2018Q2;4504566,83;3082622,21;7552,0;Filantropia;Pequeno;Empresarial
2018;333808;2018Q3;4833929,44;3478240,84;7752,0;Filantropia;Pequeno;Empresarial
2018;333808;2018Q4;5003302,9;3532830,93;8140,0;Filantropia;Pequeno;Empresarial
2018;333875;2018Q1;2467940,9;1245205,1;4104,0;Filantropia;Pequeno;Empresarial
2018;333875;2018Q2;2508032,68;1507238,54;4127,0;Filantropia;Pequeno;Empresarial
2018;333875;2018Q3;2549533,26;1957998,93;4166,0;Filantropia;Pequeno;Empresarial
2018;333875;2018Q4;2682359,25;1698686,19;4197,0;Filantropia;Pequeno;Empresarial
2018;344915;2018Q1;512982,64;262503,72;757,0;Filantropia;Pequeno;Empresarial
2018;344915;2018Q2;504385,75;366624,57;759,0;Filantropia;Pequeno;Empresarial
2018;344915;2018Q3;525006,9;335493,63;771,0;Filantropia;Pequeno;Empresarial
2018;344915;2018Q4;569927,52;286964,2;787,0;Filantropia;Pequeno;Empresarial
2018;345741;2018Q1;461804,71;410310,3;866,0;Filantropia;Pequeno;Empresarial
2018;345741;2018Q2;472241,23;402374,41;853,0;Filantropia;Pequeno;Empresarial
2018;345741;2018Q3;490495,75;387928,4;832,0;Filantropia;Pequeno;Empresarial
2018;345741;2018Q4;530434,69;453819,68;793,0;Filantropia;Pequeno;Empresarial
2018;353264;2018Q1;712434,06;361464,7;1226,0;Filantropia;Pequeno;Empresarial
2018;353264;2018Q2;716017,98;514167,82;1209,0;Filantropia;Pequeno;Empresarial
2018;353264;2018Q3;696460,97;474773,75;1167,0;Filantropia;Pequeno;Empresarial
2018;353264;2018Q4;717102,96;412230,69;1159,0;Filantropia;Pequeno;Empresarial
2018;406554;2018Q1;48724,28;0,0;38,0;Filantropia;Pequeno;Empresarial
2018;406554;2018Q2;35426,11;0,0;38,0;Filantropia;Pequeno;Empresarial
2018;406554;2018Q3;34261,92;0,0;128,0;Filantropia;Pequeno;Empresarial
2018;406554;2018Q4;63338,8;0,0;126,0;Filantropia;Pequeno;Empresarial
2018;413372;2018Q1;542930,05;454604,28;1859,0;Filantropia;Pequeno;Empresarial
2018;413372;2018Q2;552755,45;537894,32;1832,0;Filantropia;Pequeno;Empresarial
2018;413372;2018Q3;562964,6;603737,67;1841,0;Filantropia;Pequeno;Empresarial
2018;413372;2018Q4;585316,86;566775,89;1929,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q1;1666332,12;1017051,02;1593,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q2;1722497,93;1240753,18;1561,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q3;1782121,59;979742,78;1509,0;Filantropia;Pequeno;Empresarial
2019;306045;2019Q4;1771825,05;1279472,75;1464,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q1;908614,62;185896,74;3298,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q2;886120,19;349478,44;3233,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q3;960935,46;292887,74;3283,0;Filantropia;Pequeno;Empresarial
2019;314706;2019Q4;1004309,06;447043,84;3314,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q1;2799864,53;2565457,12;6376,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q2;3332736,06;2659122,37;6529,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q3;3564063,05;2692106,65;6749,0;Filantropia;Pequeno;Empresarial
2019;319422;2019Q4;3754816,35;2665047,54;6765,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q1;1810801,91;1221438,2;2083,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q2;2054293,81;1391515,15;2100,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q3;2046854,41;1282050,19;2117,0;Filantropia;Pequeno;Empresarial
2019;321320;2019Q4;2150150,47;1203399,94;2112,0;Filantropia;Pequeno;Empresarial
2019;321931;2019Q1;874647,9;695376,33;641,0;Filantropia;Pequeno;Empresarial
2019;321931;2019Q2;876842,32;776994,22;643,0;Filantropia;Pequeno;Empresarial
2019;321931;2019Q3;958686,72;1067589,7;758,0;Filantropia;Pequeno;Empresarial
2019;321931;2019Q4;1027479,08;739960,24;958,0;Filantropia;Pequeno;Empresarial
2019;323942;2019Q1;1424767,87;905273,77;3287,0;Filantropia;Pequeno;Empresarial
2019;323942;2019Q2;1548941,26;1539324,04;3223,0;Filantropia;Pequeno;Empresarial
2019;323942;2019Q3;1451368,94;1107702,67;3178,0;Filantropia;Pequeno;Empresarial
2019;323942;2019Q4;1514617,81;1060726,48;3193,0;Filantropia;Pequeno;Empresarial
2019;329355;2019Q1;5429410,4;3916057,58;10196,0;Filantropia;Pequeno;Empresarial
2019;329355;2019Q2;5496682,26;4451742,0;10262,0;Filantropia;Pequeno;Empresarial
2019;329355;2019Q3;5887411,26;4813856,79;10239,0;Filantropia;Pequeno;Empresarial
2019;329355;2019Q4;5961072,98;4088819,97;10151,0;Filantropia;Pequeno;Empresarial
2019;330116;2019Q1;6167968,8;5912973,9;11427,0;Filantropia;Pequeno;Empresarial
2019;330116;2019Q2;6280208,11;6574563,18;11645,0;Filantropia;Pequeno;Empresarial
2019;330116;2019Q3;6490789,51;7073751,64;11713,0;Filantropia;Pequeno;Empresarial
2019;330116;2019Q4;6745800,8;6296253,14;11608,0;Filantropia;Pequeno;Empresarial
2019;333808;2019Q1;4992974,85;3633157,33;8184,0;Filantropia;Pequeno;Empresarial
2019;333808;2019Q2;4793068,79;3857089,85;8275,0;Filantropia;Pequeno;Empresarial
2019;333808;2019Q3;5169527,13;4117707,27;8349,0;Filantropia;Pequeno;Empresarial
2019;333808;2019Q4;5356076,99;4047313,45;8393,0;Filantropia;Pequeno;Empresarial
2019;333875;2019Q1;2721692,36;1781505,57;4206,0;Filantropia;Pequeno;Empresarial
2019;333875;2019Q2;2750230,7;1915474,85;4290,0;Filantropia;Pequeno;Empresarial
2019;333875;2019Q3;2863753,53;2230359,01;4344,0;Filantropia;Pequeno;Empresarial
2019;333875;2019Q4;3000304,34;2247639,21;4406,0;Filantropia;Pequeno;Empresarial
2019;344915;2019Q1;581451,15;266799,42;757,0;Filantropia;Pequeno;Empresarial
2019;344915;2019Q2;556879,01;366685,68;753,0;Filantropia;Pequeno;Empresarial
2019;344915;2019Q3;561083,17;265177,18;780,0;Filantropia;Pequeno;Empresarial
2019;344915;2019Q4;640687,15;232827,93;794,0;Filantropia;Pequeno;Empresarial
2019;345741;2019Q1;558680,86;385900,65;745,0;Filantropia;Pequeno;Empresarial
2019;345741;2019Q2;481692,88;313348,59;715,0;Filantropia;Pequeno;Empresarial
2019;345741;2019Q3;471903,19;312669,57;672,0;Filantropia;Pequeno;Empresarial
2019;345741;2019Q4;533593,87;356833,26;656,0;Filantropia;Pequeno;Empresarial
2019;353264;2019Q1;710336,74;576484,98;1156,0;Filantropia;Pequeno;Empresarial
2019;353264;2019Q2;714866,21;658152,75;1125,0;Filantropia;Pequeno;Empresarial
2019;353264;2019Q3;699818,67;674862,38;1018,0;Filantropia;Pequeno;Empresarial
2019;353264;2019Q4;707407,55;573395,05;1010,0;Filantropia;Pequeno;Empresarial
2019;406554;2019Q1;293307,14;0,0;1223,0;Filantropia;Pequeno;Empresarial
2019;406554;2019Q2;1060645,96;0,0;1323,0;Filantropia;Pequeno;Empresarial
