trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;39,81;27,05;75303,0;17;67,95
2018Q2;39,83;30,3;76100,0;17;76,07
2018Q3;41,59;33,62;77306,0;17;80,84
2018Q4;42,81;32,28;78439,0;17;75,4
2019Q1;42,47;32,23;79840,0;18;75,89
2019Q2;44,21;36,61;80357,0;18;82,81
2019Q3;46,3;38,08;81161,0;18;82,25
2019Q4;48,16;35,86;81103,0;18;74,46
2020Q1;48,63;35,76;81843,0;18;73,53
2020Q2;48,97;28,27;81286,0;18;57,73
2020Q3;50,08;35,5;83712,0;18;70,89
2020Q4;52,29;36,55;85408,0;18;69,9
2021Q1;50,01;35,12;86431,0;19;70,23
2021Q2;50,88;39,66;88713,0;19;77,95
2021Q3;53,9;43,64;89006,0;19;80,96
2021Q4;55,63;39,67;66412,0;19;71,31
