trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;461,6;364,26;867220,0;92;78,91
2018Q2;478,2;396,44;929035,0;92;82,9
2018Q3;490,06;379,58;943522,0;92;77,46
2018Q4;482,76;369,88;912253,0;92;76,62
2019Q1;452,49;377,19;921318,0;93;83,36
2019Q2;463,7;384,11;970395,0;93;82,84
2019Q3;449,67;426,75;1016230,0;93;94,9
2019Q4;467,98;392,96;1007560,0;93;83,97
2020Q1;491,02;397,66;1028855,0;108;80,99
2020Q2;483,74;315,48;1018756,0;108;65,22
2020Q3;482,9;387,18;1035363,0;108;80,18
2020Q4;492,47;428,42;1029964,0;108;86,99
2021Q1;421,9;326,74;1009075,0;113;77,44
2021Q2;437,0;358,41;1039172,0;113;82,02
2021Q3;455,45;361,08;992311,0;113;79,28
2021Q4;469,3;341,7;426583,0;113;72,81
