trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;67,09;72,64;36953;1;108,27
2018Q2;51,65;66,51;27086;1;128,77
2018Q3;40,55;47,29;19393;1;116,62
2018Q4;27,42;41,52;13718;1;151,42
2019Q1;19,11;27,38;6237;1;143,28
2019Q2;6,66;20,92;279;1;314,11
2019Q3;0,39;8,66;191;1;2220,51
2019Q4;0,49;9,17;152;1;1871,43
2020Q1;2,55;1,38;124;1;54,12
2020Q2;2,37;2,6;110;1;109,7
2020Q3;0,33;2,08;101;1;630,3
2020Q4;0,25;1,31;97;1;524,0
2021Q1;0,27;0,7;85;1;259,26
2021Q2;0,2;1,1;64;1;550,0
2021Q3;0,18;1,62;58;1;900,0
2021Q4;0,18;2,22;46;1;1233,33
