trimestre;IPCA;Selic;Dolar;PNAD
2017Q1;0,00963;0,00030103;3,221433;4068
2017Q2;0,002194;0,00025302;3,1303;4070
2017Q3;0,005911;0,00022402;3,2237;4153
2017Q4;0,011443;0,00017501;3,1887;4299
2018Q1;0,007015;0,00015801;3,2451;4285
2018Q2;0,018887;0,00015601;3,457233;4279
2018Q3;0,007209;0,00015801;3,8539;4329
2018Q4;0,003894;0,00015201;3,9045;4424
2019Q1;0,01507;0,00015001;3,776467;4419
2019Q2;0,007108;0,00015301;3,9035;4327
2019Q3;0,002601;0,00015301;3,882133;4286
2019Q4;0,017675;0,00012301;4,131167;4410
2020Q1;0,005308;0,000101;4,191133;4355
2020Q2;-0,004306;0,000073;5,272333;4009
2020Q3;0,012447;0,000051;5,307533;3837
2020Q4;0,031314;0,000047;5,458467;3841
2021Q1;0,020525;0,000048;5,2499;3760
2021Q2;0,016786;0,000079;5,5077;3690
2021Q3;0,030197;0,00012301;5,144933;3741
2021Q4;0,02958;0,00018501;5,376167;3866
2022Q1;0,032007;0,00024202;5,478567;4057
2022Q2;0,022153;0,00028803;4,9849;4197
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
