ano;cd_ops;trimestre;receita;despesa;benef;modalidade;contratacao
2018;300136;2018Q1;3149960,79;2309106,19;4597,0;Cooperativa Médica;Individual
2018;300136;2018Q2;3242208,47;2889676,61;4673,0;Cooperativa Médica;Individual
2018;300136;2018Q3;3389688,15;3241870,43;4678,0;Cooperativa Médica;Individual
2018;300136;2018Q4;3477998,68;1330390,9;4651,0;Cooperativa Médica;Individual
2018;300713;2018Q1;12420184,3;4135005,59;6416,0;Cooperativa Médica;Individual
2018;300713;2018Q2;7808327,88;4675021,85;6464,0;Cooperativa Médica;Individual
2018;300713;2018Q3;4168883,52;5370512,45;6482,0;Cooperativa Médica;Individual
2018;300713;2018Q4;8603636,03;2393226,83;6573,0;Cooperativa Médica;Individual
2018;301060;2018Q1;4456060,09;2923465,6;4813,0;Cooperativa Médica;Individual
2018;301060;2018Q2;4643929,96;3115605,0;4969,0;Cooperativa Médica;Individual
2018;301060;2018Q3;4907840,32;3175569,58;4986,0;Cooperativa Médica;Individual
2018;301060;2018Q4;5068527,25;895778,41;5067,0;Cooperativa Médica;Individual
2018;301124;2018Q1;1471730,52;1126978,92;1233,0;Cooperativa Médica;Individual
2018;301124;2018Q2;1491007,62;623350,41;1186,0;Cooperativa Médica;Individual
2018;301124;2018Q3;1501016,69;1666212,51;1148,0;Cooperativa Médica;Individual
2018;301124;2018Q4;1511324,6;938491,57;1110,0;Cooperativa Médica;Individual
2018;301574;2018Q1;14155090,79;9827800,44;14099,0;Cooperativa Médica;Individual
2018;301574;2018Q2;14529733,59;11631241,84;14271,0;Cooperativa Médica;Individual
2018;301574;2018Q3;15102697,98;11259905,03;14317,0;Cooperativa Médica;Individual
2018;301574;2018Q4;15589383,43;10016644,29;14555,0;Cooperativa Médica;Individual
2018;301744;2018Q1;1969175,92;1158801,64;1279,0;Cooperativa Médica;Individual
2018;301744;2018Q2;1974843,53;1205130,33;1268,0;Cooperativa Médica;Individual
2018;301744;2018Q3;2000408,08;1186053,04;1259,0;Cooperativa Médica;Individual
2018;301744;2018Q4;2036031,34;1200410,64;1241,0;Cooperativa Médica;Individual
2018;302953;2018Q1;7211576,97;4205431,59;4593,0;Cooperativa Médica;Individual
2018;302953;2018Q2;7093556,94;5576855,78;4373,0;Cooperativa Médica;Individual
2018;302953;2018Q3;7306430,21;4990423,66;4237,0;Cooperativa Médica;Individual
2018;302953;2018Q4;7280747,22;1749028,22;4053,0;Cooperativa Médica;Individual
2018;303178;2018Q1;7021992,22;6193389,7;7431,0;Cooperativa Médica;Individual
2018;303178;2018Q2;7146441,2;6600097,85;7324,0;Cooperativa Médica;Individual
2018;303178;2018Q3;8823725,51;3248873,33;7288,0;Cooperativa Médica;Individual
2018;303178;2018Q4;8979545,92;3536150,38;7216,0;Cooperativa Médica;Individual
2018;303267;2018Q1;19350027,8;12683311,59;18343,0;Cooperativa Médica;Individual
2018;303267;2018Q2;19642785,38;15159544,04;18279,0;Cooperativa Médica;Individual
2018;303267;2018Q3;20212193,12;15907916,04;18247,0;Cooperativa Médica;Individual
2018;303267;2018Q4;20650637,46;13683505,24;18373,0;Cooperativa Médica;Individual
2018;303356;2018Q1;21302230,21;13759989,74;14767,0;Cooperativa Médica;Individual
2018;303356;2018Q2;21587019,63;15553474,46;14629,0;Cooperativa Médica;Individual
2018;303356;2018Q3;22214229,74;16197877,9;14594,0;Cooperativa Médica;Individual
2018;303356;2018Q4;22979870,23;17038031,49;14533,0;Cooperativa Médica;Individual
2018;303844;2018Q1;4558039,52;2559216,29;5571,0;Cooperativa Médica;Individual
2018;303844;2018Q2;4609145,54;2574001,56;5583,0;Cooperativa Médica;Individual
2018;303844;2018Q3;4694872,62;2561684,94;5496,0;Cooperativa Médica;Individual
2018;303844;2018Q4;4726147,9;3180820,95;5482,0;Cooperativa Médica;Individual
2018;303976;2018Q1;193703806,3;121334718,0;152866,0;Cooperativa Médica;Individual
2018;303976;2018Q2;195905678,2;129632002,6;154193,0;Cooperativa Médica;Individual
2018;303976;2018Q3;201873728,6;128280804,3;153050,0;Cooperativa Médica;Individual
2018;303976;2018Q4;208762234,0;113654787,8;153235,0;Cooperativa Médica;Individual
2018;304051;2018Q1;3540093,12;2692446,4;4366,0;Cooperativa Médica;Individual
2018;304051;2018Q2;3939660,38;2704009,35;4564,0;Cooperativa Médica;Individual
2018;304051;2018Q3;3990448,49;3037650,62;4744,0;Cooperativa Médica;Individual
2018;304051;2018Q4;3898453,45;4623,13;4914,0;Cooperativa Médica;Individual
2018;304123;2018Q1;2638355,37;1205286,76;2121,0;Cooperativa Médica;Individual
2018;304123;2018Q2;2704237,01;1642590,44;2119,0;Cooperativa Médica;Individual
2018;304123;2018Q3;2763680,56;2044960,79;2084,0;Cooperativa Médica;Individual
2018;304123;2018Q4;2845055,04;715932,15;2158,0;Cooperativa Médica;Individual
2018;304344;2018Q1;3645606,85;2008462,2;4013,0;Cooperativa Médica;Individual
2018;304344;2018Q2;3749297,38;2510935,51;3952,0;Cooperativa Médica;Individual
2018;304344;2018Q3;3802526,32;2743846,14;3900,0;Cooperativa Médica;Individual
2018;304344;2018Q4;3868231,39;1459337,84;3835,0;Cooperativa Médica;Individual
2018;304395;2018Q1;5222283,01;2848791,59;4569,0;Cooperativa Médica;Individual
2018;304395;2018Q2;5319654,23;2978799,77;4557,0;Cooperativa Médica;Individual
2018;304395;2018Q3;5414500,52;3741803,1;4450,0;Cooperativa Médica;Individual
2018;304395;2018Q4;5394266,26;801474,17;4372,0;Cooperativa Médica;Individual
2018;304468;2018Q1;6559817,1;4175996,47;6101,0;Cooperativa Médica;Individual
2018;304468;2018Q2;6795357,62;4184422,86;6175,0;Cooperativa Médica;Individual
2018;304468;2018Q3;7107462,84;4668657,61;6344,0;Cooperativa Médica;Individual
2018;304468;2018Q4;7444704,12;2827531,0;6373,0;Cooperativa Médica;Individual
2018;304883;2018Q1;7712141,76;4758529,97;6982,0;Cooperativa Médica;Individual
2018;304883;2018Q2;7857654,27;5292675,83;6948,0;Cooperativa Médica;Individual
2018;304883;2018Q3;8110003,82;5206076,36;6949,0;Cooperativa Médica;Individual
2018;304883;2018Q4;8338372,28;4991420,36;6975,0;Cooperativa Médica;Individual
2018;305227;2018Q1;8257502,58;4549122,14;8001,0;Cooperativa Médica;Individual
2018;305227;2018Q2;8294451,88;5994270,21;7974,0;Cooperativa Médica;Individual
2018;305227;2018Q3;8419090,31;5690949,65;8030,0;Cooperativa Médica;Individual
2018;305227;2018Q4;8826671,51;5376241,59;8025,0;Cooperativa Médica;Individual
2018;305472;2018Q1;2588490,74;1370324,27;2637,0;Cooperativa Médica;Individual
2018;305472;2018Q2;2688423,57;1094284,91;2737,0;Cooperativa Médica;Individual
2018;305472;2018Q3;2815647,83;1547604,74;2779,0;Cooperativa Médica;Individual
2018;305472;2018Q4;2920068,79;1452922,39;2896,0;Cooperativa Médica;Individual
2018;306100;2018Q1;9265420,83;5999442,85;10138,0;Cooperativa Médica;Individual
2018;306100;2018Q2;9733575,35;8384815,48;10176,0;Cooperativa Médica;Individual
2018;306100;2018Q3;10060504,52;8167732,0;10188,0;Cooperativa Médica;Individual
2018;306100;2018Q4;10356954,4;9568692,15;10221,0;Cooperativa Médica;Individual
2018;306126;2018Q1;9305767,73;4907418,26;8434,0;Cooperativa Médica;Individual
2018;306126;2018Q2;9479017,34;5334174,72;8381,0;Cooperativa Médica;Individual
2018;306126;2018Q3;9771632,28;5376709,57;8300,0;Cooperativa Médica;Individual
2018;306126;2018Q4;9967523,53;3797477,49;8223,0;Cooperativa Médica;Individual
2018;306398;2018Q1;33686136,05;24059279,22;39333,0;Cooperativa Médica;Individual
2018;306398;2018Q2;33986587,97;25443638,43;38776,0;Cooperativa Médica;Individual
2018;306398;2018Q3;34645283,12;26746590,71;38289,0;Cooperativa Médica;Individual
2018;306398;2018Q4;35280372,71;25925548,78;38188,0;Cooperativa Médica;Individual
2018;306762;2018Q1;9843911,52;5207361,49;7948,0;Cooperativa Médica;Individual
2018;306762;2018Q2;10090892,71;5979566,86;7992,0;Cooperativa Médica;Individual
2018;306762;2018Q3;10377811,12;5920848,05;8026,0;Cooperativa Médica;Individual
2018;306762;2018Q4;10210618,04;3275379,92;8140,0;Cooperativa Médica;Individual
2018;306886;2018Q1;28888616,74;20997391,96;21695,0;Cooperativa Médica;Individual
2018;306886;2018Q2;29029143,07;22855474,84;21564,0;Cooperativa Médica;Individual
2018;306886;2018Q3;30246633,09;23348873,91;21409,0;Cooperativa Médica;Individual
2018;306886;2018Q4;30848590,28;17394160,23;21374,0;Cooperativa Médica;Individual
2018;308811;2018Q1;388722,17;278621,81;212,0;Cooperativa Médica;Individual
2018;308811;2018Q2;395447,6;331702,65;213,0;Cooperativa Médica;Individual
2018;308811;2018Q3;409817,52;299219,47;211,0;Cooperativa Médica;Individual
2018;308811;2018Q4;402953,81;341354,04;205,0;Cooperativa Médica;Individual
2018;309087;2018Q1;7647604,04;4222436,31;8113,0;Cooperativa Médica;Individual
2018;309087;2018Q2;9273008,56;4947317,87;8033,0;Cooperativa Médica;Individual
2018;309087;2018Q3;6368502,72;4422228,74;8020,0;Cooperativa Médica;Individual
2018;309087;2018Q4;8131619,0;4336,24;7941,0;Cooperativa Médica;Individual
2018;309524;2018Q1;918220,56;233926,19;788,0;Cooperativa Médica;Individual
2018;309524;2018Q2;996377,88;217596,64;792,0;Cooperativa Médica;Individual
2018;309524;2018Q3;1000703,09;225482,13;799,0;Cooperativa Médica;Individual
2018;309524;2018Q4;1066545,9;221027,31;801,0;Cooperativa Médica;Individual
2018;311146;2018Q1;4896365,45;1256541,85;4405,0;Cooperativa Médica;Individual
2018;311146;2018Q2;4874886,12;1119771,96;4374,0;Cooperativa Médica;Individual
2018;311146;2018Q3;5096921,64;1475964,13;4358,0;Cooperativa Médica;Individual
2018;311146;2018Q4;5001693,53;1272897,2;4258,0;Cooperativa Médica;Individual
2018;311294;2018Q1;7227619,96;5205470,98;7023,0;Cooperativa Médica;Individual
2018;311294;2018Q2;7409854,99;5352441,43;7071,0;Cooperativa Médica;Individual
2018;311294;2018Q3;7634138,34;5644003,41;7076,0;Cooperativa Médica;Individual
2018;311294;2018Q4;7789180,49;3116190,97;7075,0;Cooperativa Médica;Individual
2018;311375;2018Q1;7863806,16;4647965,91;6875,0;Cooperativa Médica;Individual
2018;311375;2018Q2;7977378,78;5396262,44;6683,0;Cooperativa Médica;Individual
2018;311375;2018Q3;8355458,03;5788837,16;6620,0;Cooperativa Médica;Individual
2018;311375;2018Q4;8374671,91;5649727,65;6578,0;Cooperativa Médica;Individual
2018;311618;2018Q1;2663326,14;1860527,72;2587,0;Cooperativa Médica;Individual
2018;311618;2018Q2;2696173,08;2151616,74;2538,0;Cooperativa Médica;Individual
2018;311618;2018Q3;2815156,8;2118751,35;2485,0;Cooperativa Médica;Individual
2018;311618;2018Q4;2784971,52;2725473,33;2435,0;Cooperativa Médica;Individual
2018;311715;2018Q1;7550211,38;4414222,99;7304,0;Cooperativa Médica;Individual
2018;311715;2018Q2;7879855,39;5104663,26;7180,0;Cooperativa Médica;Individual
2018;311715;2018Q3;8050976,89;5131851,03;7232,0;Cooperativa Médica;Individual
2018;311715;2018Q4;8312490,87;2210384,94;7187,0;Cooperativa Médica;Individual
