trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;4,85;3,39;3789332,0;262;69,9
2018Q2;4,9;3,62;3783087,0;262;73,88
2018Q3;5,09;3,77;3765226,0;262;74,07
2018Q4;5,22;2,91;3741441,0;262;55,75
2019Q1;5,19;3,67;3713210,0;262;70,71
2019Q2;5,26;4,1;3739417,0;262;77,95
2019Q3;5,35;4,25;3726054,0;262;79,44
2019Q4;5,62;4,13;3718626,0;262;73,49
2020Q1;5,63;3,91;3709333,0;262;69,45
2020Q2;5,67;3,24;3679451,0;262;57,14
2020Q3;5,7;3,87;3689317,0;262;67,89
2020Q4;5,95;4,25;3711765,0;262;71,43
2021Q1;6,03;4,15;3692683,0;261;68,82
2021Q2;6,08;4,51;3673052,0;261;74,18
2021Q3;5,96;4,75;3655083,0;261;79,7
2021Q4;5,8;4,92;3657522,0;261;84,83
